Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,81.9040,276.8043,276.4444,0.3599,277.1066,114.8849,56.6034,58.2815,415.6858,49.9707,NA,81.9040,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,358.7083,129.0686,128.8195,0.2491,115.1872,44.6736,40.9880,3.6856,188.8522,33.2994,226.8336,358.7083,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,487.7769,29.9162,29.6340,0.2822,30.7922,45.6262,41.8751,3.7511,93.0830,66.7237,95.7692,487.7769,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,517.6931,46.4895,46.2569,0.2326,46.5022,46.0567,41.9155,4.1412,129.8905,83.2530,-36.8075,517.6931,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,564.1826,45.9426,45.7189,0.2237,46.0694,91.2629,50.3628,40.9001,166.6540,83.4269,-36.7635,564.1826,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,610.1252,91.5037,91.2236,0.2801,91.3897,87.0926,51.6043,35.4883,204.1383,66.6107,-37.4843,610.1252,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,701.6289,87.9319,86.8629,1.0690,86.9786,60.0862,46.7775,13.3087,179.2453,133.4154,24.8930,701.6289,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,789.5608,60.8683,60.6419,0.2264,59.1329,50.7297,48.7034,2.0263,224.7288,83.3442,-45.4835,789.5608,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,850.4291,49.6520,49.4328,0.2192,48.9943,85.1539,50.9308,34.2231,247.2047,33.3443,-22.4759,850.4291,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,900.0811,85.2589,85.0126,0.2463,84.4962,114.6304,51.9487,62.6817,230.8970,216.5329,16.3077,900.0811,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,985.3400,117.4502,117.1608,0.2894,113.8677,110.5877,57.1185,53.4692,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1102.7902,111.9274,110.7622,1.1652,107.0052,109.8483,68.6274,41.2209,244.7208,66.6986,-13.8238,1102.7902,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1214.7176,113.7113,113.4908,0.2205,104.9261,76.7339,50.2528,26.4811,199.4920,266.6010,45.2288,1214.7176,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1328.4289,160.3838,159.8928,0.4910,67.9487,93.3840,50.2274,43.1566,352.3817,33.3217,-152.8897,1328.4289,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1488.8127,38.8308,36.7453,2.0855,24.1280,69.3725,52.5919,16.7806,225.3196,33.3236,127.0621,1488.8127,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1527.6435,98.9028,98.6032,0.2996,54.6697,122.5727,49.0506,73.5221,219.8124,100.0381,5.5072,1527.6435,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1626.5463,74.2508,73.9665,0.2843,78.3396,76.8488,52.4663,24.3825,220.9477,66.6414,-1.1353,1626.5463,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1700.7971,92.8583,92.6210,0.2373,80.9376,93.8682,53.7239,40.1443,213.3383,33.4289,7.6094,1700.7971,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1793.6554,82.1265,81.5057,0.6208,81.9475,55.3417,48.4762,6.8655,153.9089,83.1974,59.4294,1793.6554,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1875.7819,55.6675,55.4545,0.2130,55.1627,53.3753,48.0192,5.3561,154.9798,83.3992,-1.0709,1875.7819,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1931.4494,52.9708,52.7225,0.2483,52.8705,92.0047,50.1304,41.8743,182.7115,133.2627,-27.7317,1931.4494,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1984.4202,92.4498,92.2158,0.2340,91.9044,105.6846,54.8092,50.8754,263.0034,100.1317,-80.2919,1984.4202,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,2076.8700,107.1285,106.5299,0.5986,105.1392,129.0406,56.6014,72.4392,270.6853,166.5649,-7.6819,2076.8700,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,2183.9985,128.5612,126.9428,1.6184,127.0513,140.6578,72.0601,68.5977,330.1217,99.9629,-59.4364,2183.9985,NA,NA,NA
