Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,238.4387,80.1801,79.9381,0.2420,123.4814,143.0333,45.1519,97.8814,318.6695,166.6277,NA,238.4387,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,318.6188,187.6004,187.3442,0.2562,186.3346,153.4989,49.9900,103.5089,405.1171,100.1213,-86.4476,318.6188,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,506.2192,155.1386,154.9052,0.2334,152.2331,121.7428,53.6861,68.0567,317.6380,49.8668,87.4791,506.2192,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,661.3578,122.2099,122.0032,0.2067,118.8373,63.7829,38.9662,24.8167,212.3662,33.3213,105.2718,661.3578,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,783.5677,62.7215,62.4967,0.2248,60.4103,43.8573,37.9822,5.8751,123.4776,49.9962,88.8886,783.5677,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,846.2892,65.6053,65.3001,0.3052,48.3428,44.1933,38.4969,5.6964,110.7523,66.6646,12.7253,846.2892,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,911.8945,60.2337,60.0194,0.2143,26.9308,60.9225,42.1461,18.7764,111.8116,50.0241,-1.0593,911.8945,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,972.1282,28.5533,28.3409,0.2124,27.6196,45.5293,40.4749,5.0544,101.6020,116.6702,10.2096,972.1282,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1000.6815,75.7415,75.5009,0.2406,45.6254,89.2146,47.7813,41.4333,189.7189,83.3085,-88.1169,1000.6815,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1076.4230,58.7486,58.4973,0.2513,59.0985,97.0426,54.6415,42.4011,197.2859,116.6837,-7.5670,1076.4230,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1135.1716,98.4456,98.1712,0.2744,97.3925,103.3101,45.3089,58.0012,255.2210,66.6802,-57.9351,1135.1716,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1233.6172,102.6121,102.2253,0.3868,102.2570,85.2868,43.8669,41.4199,223.4556,116.6183,31.7654,1233.6172,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1336.2293,88.1235,87.8956,0.2279,84.9317,95.9585,44.4212,51.5373,237.4618,66.7304,-14.0062,1336.2293,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1424.3528,95.0914,94.8641,0.2273,92.7667,89.9213,43.3421,46.5792,216.0687,99.9772,21.3931,1424.3528,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1519.4442,88.0610,87.6445,0.4165,87.7052,94.8932,46.3933,48.4999,220.9545,416.5936,-4.8858,1519.4442,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1607.5052,94.2655,94.0126,0.2529,94.5374,72.3815,45.0578,27.3237,549.4871,149.9625,-328.5326,1607.5052,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1701.7707,72.8872,72.6563,0.2309,72.6534,72.5923,41.1791,31.4132,605.1841,50.0121,-55.6970,1701.7707,NA,605.7626,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1774.6579,55.7124,55.3491,0.3633,72.3585,460.6714,57.0763,403.5951,582.3090,49.9962,22.8751,1774.6579,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Composed: Flip,1830.3703,80.2650,80.0240,0.2410,477.3175,76.4910,45.8737,30.6173,576.5928,33.4237,5.7162,1830.3703,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,1910.6353,473.5243,473.3126,0.2117,473.5435,42.7015,39.7686,2.9329,529.7515,29.9728,46.8413,1910.6353,NA,132.0749,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2384.1596,40.8767,40.6717,0.2050,42.7207,42.7229,40.9627,1.7602,86.2000,43.4673,443.5515,2384.1596,NA,86.0414,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2425.0363,42.7979,42.6025,0.1954,44.5669,43.3620,41.4851,1.8769,88.7906,37.5587,-2.5906,2425.0363,NA,87.5205,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2467.8342,45.0276,44.8100,0.2176,45.1310,37.7168,35.5174,2.1994,83.5514,37.5736,5.2392,2467.8342,NA,85.0065,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2512.8618,36.3440,36.1225,0.2215,37.8202,38.2304,37.1444,1.0860,76.0974,39.1781,7.4540,2512.8618,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2549.2058,40.0374,39.4880,0.5494,39.7066,38.5808,37.4434,1.1374,78.9315,38.9682,-2.8341,2549.2058,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2589.2432,38.1796,37.9222,0.2574,38.2500,38.6562,36.4623,2.1939,77.8623,37.2974,1.0692,2589.2432,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2627.4228,37.3683,37.1572,0.2111,38.7266,38.1390,37.4140,0.7250,76.9801,40.4382,0.8822,2627.4228,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2664.7911,38.9020,38.6362,0.2658,39.4973,37.0925,36.6585,0.4340,80.0500,37.9755,-3.0699,2664.7911,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2703.6931,38.2862,38.0658,0.2204,37.6878,40.6946,39.3456,1.3490,79.1235,45.3546,0.9265,2703.6931,NA,80.4218,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2741.9793,39.9759,39.7358,0.2401,40.0962,42.6945,40.4641,2.2304,86.1919,39.8487,-7.0684,2741.9793,NA,85.8088,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2781.9552,42.8923,42.6586,0.2337,42.8148,42.4761,40.7507,1.7254,86.0647,43.6207,0.1272,2781.9552,NA,85.6665,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2824.8475,42.4057,42.1669,0.2388,42.3986,41.5452,40.0043,1.5409,86.7931,39.7371,-0.7284,2824.8475,NA,101.3105,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2867.2532,41.0528,40.7781,0.2747,41.5381,41.6418,40.4185,1.2233,84.1245,43.4138,2.6686,2867.2532,NA,85.0287,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2908.3060,42.2171,42.0028,0.2143,42.1271,42.0041,39.9254,2.0787,86.4855,41.7691,-2.3610,2908.3060,NA,84.4573,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2950.5231,41.5133,41.2889,0.2244,41.9141,43.2130,41.2869,1.9261,86.0375,42.9734,0.4480,2950.5231,NA,86.0638,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,2992.0364,43.5432,43.2883,0.2549,43.6138,43.1716,40.0315,3.1401,87.4976,68.1062,-1.4601,2992.0364,NA,95.1862,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,3035.5796,40.9223,40.6337,0.2886,43.2422,67.8608,44.1256,23.7352,112.0606,70.3509,-24.5630,3035.5796,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,1,Hardware Composed: Independent Flip,3076.5019,70.0190,69.7615,0.2575,70.1807,70.6837,48.5220,22.1617,141.4892,62.4624,-29.4286,3076.5019,NA,141.5840,NA
