Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Other,36.5842,98.0732,97.5456,0.5276,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Other,134.6574,129.0834,128.4985,0.5849,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Other,263.7408,87.8593,87.5232,0.3361,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,30528,0x0,Other,-1,0,0,Composed: Flip,38.2652,117.8592,117.8592,0.0000,115.9714,109.0829,44.4103,64.6726,264.8497,66.6924,NA,38.2652,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Other,351.6001,92.8094,92.4421,0.3673,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,30528,0x0,Other,-1,0,0,Composed: Flip,156.1244,107.9132,107.9132,0.0000,107.1951,87.1490,40.2272,46.9218,213.6829,116.6601,51.1668,156.1244,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Other,444.4095,73.2200,72.9171,0.3029,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,30528,0x0,Other,-1,0,0,Composed: Flip,264.0376,88.2079,88.2079,0.0000,86.4309,97.5020,53.4974,44.0046,222.4298,50.0778,-8.7469,264.0376,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Other,517.6295,92.1933,91.9069,0.2864,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,30528,0x0,Other,-1,0,0,Composed: Flip,352.2455,96.0152,96.0152,0.0000,95.7250,73.8756,45.0707,28.8049,184.2997,83.2271,38.1301,352.2455,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Other,609.8228,42.4759,42.1556,0.3203,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,30528,0x0,Other,-1,0,0,Composed: Flip,448.2607,78.3316,78.3316,0.0000,74.0069,79.3499,40.5465,38.8034,171.5116,49.9732,12.7881,448.2607,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Other,652.2987,33.7801,33.5100,0.2701,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,30528,0x0,Other,-1,0,0,Composed: Flip,526.5923,83.7225,83.7225,0.0000,75.0252,43.6911,41.0812,2.6099,143.1532,33.3505,28.3584,526.5923,NA,NA,NA
GenshinImpact.exe,30528,0x0,Other,-1,0,0,Composed: Flip,610.3148,42.4177,42.4177,0.0000,34.9938,40.0401,38.0763,1.9638,92.7812,49.9851,50.3720,610.3148,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Other,686.0788,67.6255,62.0131,5.6124,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,30528,0x0,Other,-1,0,0,Composed: Flip,652.7325,36.9873,36.9873,0.0000,32.6162,39.2927,36.9439,2.3488,100.3486,50.0208,-7.5674,652.7325,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Other,753.7043,49.9492,49.5678,0.3814,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Other,803.6535,33.5617,33.2869,0.2748,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,30528,0x0,Other,-1,0,0,Composed: Flip,689.7198,65.4006,65.4006,0.0000,38.3853,47.1739,38.2663,8.9076,113.3821,49.9876,-13.0335,689.7198,NA,NA,NA
GenshinImpact.exe,30528,0x293E5AC9F70,DXGI,0,0,0,Other,837.2152,62.4569,62.1419,0.3150,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
