Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,1844674407370947.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,1844674407370634.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,1844674407370611.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,1844674407370589.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,1844674407370566.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,1844674407370546.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,1844674407370522.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,1844674407370498.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,3.0955,7.0186,6.9209,0.0977,6.7028,5.1834,5.1127,0.0707,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,10.1141,14.2528,14.1528,0.1000,12.2610,5.3195,5.2565,0.0630,36.0452,33.3168,NA,10.1141,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,24.3669,21.6744,21.5776,0.0968,19.9364,6.9882,5.9746,1.0136,55.1092,16.6767,-19.0640,24.3669,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,46.0413,22.1451,22.0317,0.1134,20.2015,5.4513,5.3435,0.1078,50.1115,16.7753,4.9977,46.0413,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,68.1864,21.9097,21.8164,0.0933,20.2218,5.6816,5.6267,0.0549,44.7417,33.2818,5.3698,68.1864,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,90.0961,23.0839,23.0013,0.0826,20.7114,6.4354,5.9392,0.4962,56.1138,16.5888,-11.3721,90.0961,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,113.1800,22.0754,21.9758,0.0996,19.8770,5.7772,5.6474,0.1298,49.6187,16.8010,6.4951,113.1800,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,135.2554,21.3799,21.3052,0.0747,19.4599,6.4433,6.3746,0.0687,44.3443,33.2793,5.2744,135.2554,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,156.6353,21.3199,21.2567,0.0632,19.5965,6.9445,6.5088,0.4357,56.2437,16.6598,-11.8994,156.6353,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,177.9552,22.0183,21.9509,0.0674,20.3069,6.3102,6.2693,0.0409,51.5836,16.5943,4.6601,177.9552,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,199.9735,22.5911,22.5043,0.0868,20.9884,7.4956,7.3813,0.1143,46.1596,33.3302,5.4240,199.9735,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,222.5646,21.7526,21.6643,0.0883,20.0869,8.3177,7.9675,0.3502,56.8987,16.6957,-10.7391,222.5646,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,244.3172,23.2769,23.1808,0.0961,21.2716,7.3912,7.2859,0.1053,51.8418,33.3331,5.0569,244.3172,NA,36.4887,NA
