Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,12.5977,9.7633,9.6363,0.1270,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,22.3610,14.6499,14.5386,0.1113,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,1.2546,11.5792,11.5792,0.0000,11.4944,9.9063,9.6217,0.2846,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,37.0109,19.6935,19.5636,0.1299,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,12.8338,9.9493,9.9493,0.0000,9.8215,10.5932,9.0069,1.5863,40.7547,16.6669,NA,12.8338,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,56.7044,22.4268,22.2488,0.1780,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,22.7831,14.3772,14.3772,0.0000,12.5205,8.6606,7.3539,1.3067,47.4723,16.7336,-6.7176,22.7831,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,79.1312,20.2768,20.1739,0.1029,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,37.1603,19.7937,19.7937,0.0000,17.2492,7.2502,6.1870,1.0632,49.8287,16.6075,-2.3564,37.1603,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,99.4080,29.0431,28.8148,0.2283,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,56.9540,22.3719,22.3719,0.0000,20.1236,6.4397,6.3712,0.0685,46.6425,33.3196,3.1862,56.9540,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,128.4511,15.8838,15.7826,0.1012,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,79.3259,20.1928,20.1928,0.0000,18.7438,6.2115,6.1679,0.0436,57.5902,16.7361,-10.9477,79.3259,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,144.3349,23.7253,23.6116,0.1137,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,99.5187,29.2564,29.2564,0.0000,26.2422,6.5761,6.5288,0.0473,54.1335,16.7193,3.4567,99.5187,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,168.0602,20.4285,20.3139,0.1146,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,128.7751,15.6849,15.6849,0.0000,14.0299,6.4942,6.4318,0.0624,41.5964,33.2057,12.5371,128.7751,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,188.4887,23.3057,23.1952,0.1105,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,144.4600,23.7781,23.7781,0.0000,21.4755,6.5211,6.4775,0.0436,59.1172,16.7295,-17.5208,144.4600,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,211.7944,21.0959,21.0023,0.0936,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,168.2381,20.4062,20.4062,0.0000,18.1085,8.3441,6.9945,1.3496,52.0686,16.6363,7.0486,168.2381,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,232.8903,22.1459,22.0056,0.1403,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,188.6443,23.3584,23.3584,0.0000,21.3128,6.8784,6.7491,0.1293,48.2987,33.2904,3.7699,188.6443,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,255.0362,22.0546,21.9592,0.0954,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,212.0027,21.0619,21.0619,0.0000,19.5317,7.2147,6.9197,0.2950,58.2307,16.7392,-9.9320,212.0027,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,277.0908,21.1033,21.0117,0.0916,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,233.0646,22.1408,22.1408,0.0000,20.0001,7.9725,6.8923,1.0802,53.9080,16.6162,4.3227,233.0646,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,298.1941,22.8293,22.7112,0.1181,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,255.2054,21.9952,21.9952,0.0000,20.6075,7.4852,7.4322,0.0530,48.3834,33.3440,5.5246,255.2054,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,321.0234,22.6581,22.5472,0.1109,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,277.2006,21.1002,21.1002,0.0000,19.6052,7.5846,7.5447,0.0399,59.7322,16.6229,-11.3488,277.2006,NA,NA,NA
