Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,1.2929,10.5156,10.2962,0.2194,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,11.8085,10.7985,10.5899,0.2086,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,22.6070,17.0550,16.8676,0.1874,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,1.6955,10.2200,10.2200,0.0000,10.0102,7.7546,7.4676,0.2870,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,39.6620,22.0478,21.8762,0.1716,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,11.9155,10.8699,10.8699,0.0000,7.5448,8.3954,7.3175,1.0779,37.0714,16.6833,NA,11.9155,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,61.7098,19.4942,19.3720,0.1222,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,22.7854,17.0443,17.0443,0.0000,13.1949,8.8383,7.4912,1.3471,42.8848,33.3280,-5.8134,22.7854,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,81.2040,24.2154,24.1048,0.1106,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,39.8297,22.2226,22.2226,0.0000,18.5177,7.9047,7.4215,0.4832,59.1685,16.6512,-16.2837,39.8297,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,105.4194,20.2494,20.1209,0.1285,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,62.0523,19.3029,19.3029,0.0000,17.0725,8.7514,7.7139,1.0375,53.5971,16.6625,5.5714,62.0523,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,81.3552,24.4313,24.4313,0.0000,19.9056,8.9249,7.7456,1.1793,50.9567,16.7381,2.6404,81.3552,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,125.6688,24.4548,24.2543,0.2005,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,150.1236,21.0697,20.8712,0.1985,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,105.7865,20.0290,20.0290,0.0000,17.5815,7.7393,7.6777,0.0616,43.2635,33.2745,7.6932,105.7865,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,171.1933,21.0606,20.7993,0.2613,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,125.8155,25.3575,25.3575,0.0000,20.2792,10.1529,8.5647,1.5882,56.5090,16.6735,-13.2455,125.8155,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,192.2539,21.4994,21.3599,0.1395,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,151.1730,20.3448,20.3448,0.0000,16.4223,10.5525,9.1088,1.4437,47.8250,16.6783,8.6840,151.1730,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,213.7533,21.3391,21.1873,0.1518,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,171.5178,20.8952,20.8952,0.0000,18.3256,8.5034,8.1659,0.3375,44.1585,33.2992,3.6665,171.5178,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,235.0924,22.1212,22.0221,0.0991,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,192.4130,21.4897,21.4897,0.0000,18.8338,9.3824,8.5359,0.8465,56.5625,16.7470,-12.4040,192.4130,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,257.2136,21.8825,21.7448,0.1377,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,213.9027,21.3218,21.3218,0.0000,18.5527,9.1491,8.3436,0.8055,51.8198,16.6072,4.7427,213.9027,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,279.0961,22.5458,22.4024,0.1434,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,235.2245,22.0998,22.0998,0.0000,19.9045,8.3661,8.3267,0.0394,47.1052,33.3605,4.7146,235.2245,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,301.6419,22.4683,22.3662,0.1021,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,257.3243,21.9627,21.9627,0.0000,19.1415,9.1004,8.9557,0.1447,58.3659,16.5980,-11.2607,257.3243,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,324.1102,20.7235,20.6302,0.0933,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
