Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,8.5670,13.2560,12.3986,0.8574,7.5013,12.2674,9.5464,2.7210,43.8377,16.6847,NA,8.5670,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,21.8230,9.8388,9.6483,0.1905,6.5968,9.4813,8.9087,0.5726,47.2664,16.6425,-3.4287,21.8230,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,31.6618,18.5968,18.4840,0.1128,15.0139,9.9851,8.9602,1.0249,54.0701,16.6506,-6.8037,31.6618,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,50.2586,18.0177,17.8884,0.1293,15.4167,10.4147,8.9149,1.4998,52.1239,16.6408,1.9462,50.2586,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,68.2763,21.8819,21.8127,0.0692,17.2579,11.1147,8.8132,2.3015,50.7470,16.7122,1.3769,68.2763,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,90.1582,21.5569,21.4584,0.0985,18.9127,9.6252,9.5658,0.0594,45.5773,33.3016,5.1697,90.1582,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,111.7151,20.7427,20.6540,0.0887,18.2846,11.7147,9.6044,2.1103,57.3220,16.6370,-11.7447,111.7151,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,132.4578,22.8858,22.8079,0.0779,19.3559,11.0101,9.9851,1.0250,53.2163,16.7197,4.1057,132.4578,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,155.3436,23.0684,22.9579,0.1105,19.8747,10.1854,10.1311,0.0543,47.0502,33.3127,6.1661,155.3436,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,178.4120,19.9015,19.8208,0.0807,17.5858,12.7046,10.7928,1.9118,57.2945,16.6980,-10.2443,178.4120,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,198.3135,26.0398,25.9548,0.0850,21.5073,12.2063,10.7459,1.4604,54.0910,33.2844,3.2035,198.3135,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,224.3533,24.7709,24.6403,0.1306,20.2893,12.4040,11.2340,1.1700,61.3356,16.6634,-7.2446,224.3533,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,249.1242,25.1333,24.9941,0.1392,19.3322,13.2032,11.1538,2.0494,53.2281,16.7082,8.1075,249.1242,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,274.2575,19.8452,19.7471,0.0981,15.9954,11.1986,10.9324,0.2662,44.8030,33.3031,8.4251,274.2575,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,294.1027,21.4390,21.1730,0.2660,17.8263,11.3591,10.5592,0.7999,58.2609,16.6605,-13.4579,294.1027,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,315.5417,25.8945,25.7480,0.1465,18.2198,15.1486,11.6880,3.4606,53.4824,33.3390,4.7785,315.5417,NA,NA,NA
