Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,7.6597,8.8658,8.7480,0.1178,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,16.5255,19.9963,19.7735,0.2228,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,36.5218,21.7233,21.5865,0.1368,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,8.1376,8.5281,8.5281,0.0000,7.6577,13.1992,11.3638,1.8354,42.7743,16.6312,NA,8.1376,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,58.2451,19.8688,19.7169,0.1519,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,16.6657,20.1986,20.1986,0.0000,16.2689,13.2563,11.4750,1.7813,50.8774,16.6925,-8.1031,16.6657,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,78.1139,28.4638,28.3454,0.1184,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,36.8643,21.5409,21.5409,0.0000,18.1696,11.9335,11.0456,0.8879,47.3713,33.3533,3.5061,36.8643,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,106.5777,22.2988,22.0377,0.2611,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,58.4052,19.8862,19.8862,0.0000,17.2332,12.8893,12.5661,0.3232,59.1837,16.6366,-11.8124,58.4052,NA,NA,NA
