Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,18.7573,8.8570,8.7603,0.0967,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,27.6143,20.6434,20.5292,0.1142,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,48.2577,19.9721,19.7925,0.1796,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,7.7197,11.7672,11.7672,0.0000,6.7472,12.4022,11.2702,1.1320,44.3204,16.6715,NA,7.7197,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,19.4869,8.2483,8.2483,0.0000,7.3822,10.5487,10.5051,0.0436,49.2247,16.6606,-4.9043,19.4869,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,68.2298,21.5264,21.4036,0.1228,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,27.7352,20.7481,20.7481,0.0000,17.0561,10.6854,10.6217,0.0637,57.6370,16.6533,-8.4123,27.7352,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,89.7562,24.0898,23.8973,0.1925,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,48.4833,20.0830,20.0830,0.0000,15.9450,12.2210,11.1296,1.0914,53.5422,16.7375,4.0948,48.4833,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,113.8460,18.7008,18.5246,0.1762,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,68.5663,21.3424,21.3424,0.0000,17.8819,11.5269,10.6195,0.9074,50.1967,33.2566,3.3455,68.5663,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,132.5468,24.2787,24.1718,0.1069,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,89.9087,24.2219,24.2219,0.0000,19.6787,11.9097,11.6418,0.2679,62.1109,16.6606,-11.9142,89.9087,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,156.8255,20.8814,20.7228,0.1586,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,114.1306,18.5680,18.5680,0.0000,15.6445,13.7245,11.2545,2.4700,54.5496,16.6809,7.5613,114.1306,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,177.7069,21.4141,21.2928,0.1213,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,132.6986,24.4283,24.4283,0.0000,20.5298,12.6250,11.3139,1.3111,52.6625,33.3149,1.8871,132.6986,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,199.1210,23.8024,23.6947,0.1077,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,157.1269,20.7164,20.7164,0.0000,17.9607,11.6317,11.5724,0.0593,61.5491,16.6878,-8.8866,157.1269,NA,NA,NA
