Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,16.4499,10.1184,9.9763,0.1421,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,26.5683,25.3977,24.7659,0.6318,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,3.3951,13.2281,13.2281,0.0000,8.2456,13.2634,11.8711,1.3923,39.8380,16.5969,NA,3.3951,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,51.9660,18.7871,18.5404,0.2467,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,16.6232,10.4828,10.4828,0.0000,8.2809,13.5790,11.9751,1.6039,43.2068,16.6795,-3.3688,16.6232,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,70.7531,20.4143,20.2236,0.1907,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,27.1060,24.9287,24.9287,0.0000,17.8596,14.1271,11.8612,2.2659,49.4035,33.3343,-6.1967,27.1060,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,91.1674,32.0381,31.8918,0.1463,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,52.0347,18.9974,18.9974,0.0000,14.3822,11.6946,11.6318,0.0628,57.8091,16.6849,-8.4056,52.0347,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,123.2055,16.2984,16.0626,0.2358,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
