Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,1844674407370901.0000,16.3101,16.3101,0.0000,10.5552,16.3084,15.9808,0.3276,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,2.9911,16.0145,15.7325,0.2820,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,19.0056,13.6469,13.5251,0.1218,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,1844674407370917.5000,15.1249,15.1249,0.0000,10.5535,17.6019,16.1240,1.4779,55.5069,16.7549,NA,0.0000,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,32.6525,16.2369,15.9429,0.2940,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,1844674407370932.7500,26.2039,26.2039,0.0000,16.6110,19.8291,16.5982,3.2309,57.1369,16.5958,-1.6300,0.0000,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,48.8894,16.6430,16.4282,0.2148,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,3.6661,15.9566,15.9566,0.0000,10.2362,17.5338,16.1695,1.3643,47.5288,16.6432,9.6081,3.6661,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,65.5324,16.3877,16.0862,0.3015,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,19.6227,13.2063,13.2063,0.0000,11.8134,17.4973,16.1960,1.3013,48.2154,16.6569,-0.6866,19.6227,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,81.9201,17.4829,16.9216,0.5613,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,32.8290,16.2978,16.2978,0.0000,16.1044,16.6586,15.8570,0.8016,51.6660,16.6998,-3.4506,32.8290,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,99.4030,16.0042,15.8441,0.1601,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,49.1268,16.5938,16.5938,0.0000,16.4652,16.2102,15.4188,0.7914,52.0680,16.6521,-0.4020,49.1268,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,115.4072,18.4528,18.2866,0.1662,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,133.8600,16.5172,16.2583,0.2589,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,65.7206,16.3355,16.3355,0.0000,16.0816,16.9387,16.0697,0.8690,52.1263,33.3346,-0.0583,65.7206,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,150.3772,16.5681,16.2341,0.3340,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,82.0561,33.5595,33.5595,0.0000,16.6848,31.3986,29.8813,1.5173,69.1254,16.6984,-16.9991,82.0561,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,166.9453,15.7990,15.5195,0.2795,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,115.6156,18.4707,18.4707,0.0000,14.5239,15.6473,14.9449,0.7024,52.2643,16.5899,16.8611,115.6156,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,182.7443,15.6198,15.4138,0.2060,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
