Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,17.6767,22.9143,22.7953,0.1190,38.4281,33.5157,14.9715,18.5442,87.9423,5.6676,NA,17.6767,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,40.5910,31.5875,31.4330,0.1545,49.0295,16.7925,15.0592,1.7333,70.6956,10.7535,17.2467,40.5910,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,72.1785,33.3562,33.2446,0.1116,34.2345,15.5974,14.1366,1.4608,49.8616,22.4787,20.8340,72.1785,NA,33.8180,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,105.5347,16.4002,16.2500,0.1502,16.4757,16.9236,15.2215,1.7021,38.9841,16.7029,10.8775,105.5347,NA,36.2682,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,121.9349,16.8593,16.6452,0.2141,16.9991,17.2934,15.6016,1.6918,39.2868,16.6355,-0.3027,121.9349,NA,38.8812,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,138.7942,17.9006,17.7721,0.1285,17.4332,16.8156,15.5220,1.2936,39.0630,11.0751,0.2238,138.7942,NA,41.5898,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,156.6948,16.3173,16.1507,0.1666,16.3482,15.8603,14.9448,0.9155,32.2375,16.2513,6.8255,156.6948,NA,32.6145,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,173.0121,15.7642,15.5699,0.1943,15.8912,16.2508,15.4242,0.8266,32.1715,15.9134,0.0660,173.0121,NA,32.8671,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,188.7763,16.0324,15.9201,0.1123,16.3778,15.9186,15.3527,0.5659,32.3207,16.3161,-0.1492,188.7763,NA,32.8667,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,204.8087,16.1419,15.9560,0.1859,16.2640,16.3160,15.1586,1.1574,32.6044,15.9388,-0.2837,204.8087,NA,33.1674,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,220.9506,15.9416,15.7840,0.1576,16.4381,15.2809,14.4417,0.8392,32.4013,16.6610,0.2031,220.9506,NA,33.0892,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,236.8922,16.7273,16.6217,0.1056,15.7774,16.4147,15.4598,0.9549,33.1207,16.2870,-0.7194,236.8922,NA,33.7620,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,253.6195,16.0732,15.8574,0.2158,15.4648,16.4566,15.5090,0.9476,32.6804,16.5773,0.4403,253.6195,NA,34.0530,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,269.6927,18.3334,18.1409,0.1925,15.8482,16.3422,15.5199,0.8223,33.1845,15.7349,-0.5041,269.6927,NA,32.6602,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,288.0261,14.3399,14.2154,0.1245,13.8570,15.7911,15.1549,0.6362,30.5860,16.1862,2.5985,288.0261,NA,32.2966,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,302.3660,15.1894,14.9997,0.1897,15.3082,16.1877,15.4461,0.7416,32.4323,15.7332,-1.8463,302.3660,NA,32.5371,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,317.5554,17.4227,17.3196,0.1031,16.3065,15.8007,15.1722,0.6285,32.9761,16.1970,-0.5438,317.5554,NA,32.2658,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,334.9781,17.3779,17.2349,0.1430,14.7928,16.2557,15.7457,0.5100,31.7504,15.2628,1.2257,334.9781,NA,32.4763,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,352.3560,16.5602,16.4241,0.1361,13.6706,15.2239,14.7905,0.4334,29.6353,16.2018,2.1151,352.3560,NA,27.6542,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,368.9162,15.2946,15.1534,0.1412,12.3343,16.1334,15.4389,0.6945,29.2769,15.7306,0.3584,368.9162,NA,27.8784,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,384.2108,16.8626,16.7312,0.1314,13.1731,15.7326,15.4088,0.3238,29.7129,16.1958,-0.4360,384.2108,NA,29.6932,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,401.0734,17.1275,16.9252,0.2023,12.0431,15.9419,15.3592,0.5827,29.0461,15.7293,0.6668,401.0734,NA,25.8528,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,418.2009,16.5698,16.3316,0.2382,11.1285,15.4681,15.0456,0.4225,27.6479,18.2348,1.3982,418.2009,NA,25.6291,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,434.7707,17.1614,16.9121,0.2493,12.0095,16.3286,15.6223,0.7063,29.3129,15.5649,-1.6650,434.7707,NA,27.8407,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,451.9321,14.6187,14.4569,0.1618,11.1767,15.7063,15.1515,0.5548,27.7164,16.1935,1.5965,451.9321,NA,27.3274,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,466.5508,17.8016,17.5623,0.2393,12.4399,15.8757,15.4358,0.4399,29.2912,17.1310,-1.5748,466.5508,NA,27.5078,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,484.3524,18.1870,18.0006,0.1864,12.9302,15.0318,14.7622,0.2696,28.6206,16.2100,0.6706,484.3524,NA,28.6346,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,502.5394,14.7148,14.4742,0.2406,9.7750,15.9258,15.5038,0.4220,26.6436,17.5870,1.9770,502.5394,NA,28.8705,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,517.2542,19.4258,19.2762,0.1496,13.1940,15.5560,15.2643,0.2917,29.5158,18.0801,-2.8722,517.2542,NA,30.4386,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,536.6800,16.3399,16.1274,0.2125,11.3337,15.8604,15.5821,0.2783,28.1701,15.2608,1.3457,536.6800,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,553.0199,13.5525,13.3698,0.1827,10.8542,15.3435,15.0787,0.2648,27.0910,15.7346,1.0791,553.0199,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,566.5724,15.5547,15.4034,0.1513,12.6452,15.7817,15.5105,0.2712,29.2731,15.2486,-2.1821,566.5724,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,582.1271,16.2089,15.9842,0.2247,12.8722,15.3016,15.0251,0.2765,28.9670,18.5330,0.3061,582.1271,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,598.3360,29.9956,29.8588,0.1368,13.0482,17.4105,15.3823,2.0282,31.2911,20.8835,-2.3241,598.3360,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,628.3316,12.0270,11.8569,0.1701,5.9742,15.2759,14.9045,0.3714,22.1790,15.8158,9.1121,628.3316,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,640.3586,16.6560,16.5121,0.1439,9.2231,15.8293,15.4426,0.3867,25.9678,17.0581,-3.7888,640.3586,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,657.0146,15.9704,15.8127,0.1577,9.5617,15.7762,15.5037,0.2725,26.3699,16.6513,-0.4021,657.0146,NA,NA,NA
