Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,19.1519,14.9711,14.8042,0.1669,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,34.1230,14.0855,13.6917,0.3938,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,6.9450,12.3928,12.3928,0.0000,12.1788,11.6200,11.0225,0.5975,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,48.2085,12.1290,11.9628,0.1662,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,19.3378,15.2183,15.2183,0.0000,11.4060,12.1452,11.0203,1.1249,40.9301,16.6986,NA,19.3378,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,60.3375,18.7631,18.5508,0.2123,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,79.1006,14.2994,14.1887,0.1107,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,34.5561,13.7528,13.7528,0.0000,8.3329,12.8108,11.1122,1.6986,42.4104,16.6406,-1.4803,34.5561,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,48.3089,12.7596,12.7596,0.0000,9.9719,12.1821,11.0453,1.1368,45.2982,16.6891,-2.8878,48.3089,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,93.4000,17.7707,17.5111,0.2596,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,61.0685,18.2582,18.2582,0.0000,13.9580,12.0385,10.7410,1.2975,49.2277,16.6402,-3.9295,61.0685,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,111.1707,16.8314,16.6049,0.2265,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,79.3267,14.2550,14.2550,0.0000,12.1741,11.5750,10.6154,0.9596,47.6097,16.6688,1.6180,79.3267,NA,NA,NA
