Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,22.0603,16.3343,16.1300,0.2043,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,38.3946,16.1005,15.9429,0.1576,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,54.4951,15.4310,15.2569,0.1741,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,4.9822,17.2164,17.2164,0.0000,16.9652,16.3714,14.4774,1.8940,54.9655,16.6735,NA,4.9822,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,69.9261,16.4929,16.3367,0.1562,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,22.1986,16.3596,16.3596,0.0000,16.1202,16.2070,14.7991,1.4079,54.4226,16.6674,0.5429,22.1986,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,86.4190,15.6987,15.5102,0.1885,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,38.5582,16.1437,16.1437,0.0000,15.9676,15.4094,13.9155,1.4939,54.7304,16.6521,-0.3078,38.5582,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,102.1177,16.6340,16.4531,0.1809,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,54.7019,15.4314,15.4314,0.0000,15.2333,16.5189,14.7061,1.8128,55.2388,16.7416,-0.5084,54.7019,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,118.7517,15.0571,14.8453,0.2118,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,70.1333,16.4600,16.4600,0.0000,16.3208,15.6793,14.1227,1.5566,56.5490,16.6047,-1.3102,70.1333,NA,NA,NA
