Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,27.9253,22.0831,21.8429,0.2402,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,50.0084,19.5312,19.3865,0.1447,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,69.5396,19.6831,19.5308,0.1523,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,8.1202,20.4931,20.4931,0.0000,20.3610,21.5953,16.6565,4.9388,66.1207,16.4762,NA,8.1202,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,28.6133,21.5777,21.5777,0.0000,21.4632,19.4608,16.9455,2.5153,62.1038,16.6740,4.0169,28.6133,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,89.2227,20.2716,20.0548,0.2168,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,109.4943,18.5306,18.2416,0.2890,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,50.1910,19.5404,19.5404,0.0000,19.3463,19.6994,16.6535,3.0459,57.2001,33.4063,4.9037,50.1910,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,128.0249,22.6606,22.4654,0.1952,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,69.7314,19.6668,19.6668,0.0000,19.5053,20.0605,17.2437,2.8168,71.0660,16.5897,-13.8659,69.7314,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,150.6855,19.4135,19.2272,0.1863,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,89.3982,20.2460,20.2460,0.0000,19.8990,19.0430,16.1461,2.8969,67.9889,16.8159,3.0771,89.3982,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,170.0990,18.8427,18.6816,0.1611,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
