Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,13.1633,12.0492,11.8413,0.2079,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,25.2125,12.4122,12.1795,0.2327,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,4.4505,11.4598,11.4598,0.0000,4.0984,8.7476,8.0070,0.7406,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,37.6247,13.5498,13.4431,0.1067,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,15.9103,9.6016,9.6016,0.0000,5.5971,7.8102,7.7417,0.0685,30.4605,16.6810,NA,15.9103,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,51.1745,16.8371,16.6511,0.1860,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,25.5119,12.3509,12.3509,0.0000,9.5550,7.0600,7.0086,0.0514,37.5399,16.6544,-7.0794,25.5119,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,68.0116,15.9654,15.8639,0.1015,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,37.8628,13.5887,13.5887,0.0000,10.5490,8.0761,7.0640,1.0121,41.8434,16.6764,-4.3035,37.8628,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,83.9770,16.6503,16.4833,0.1670,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,51.4515,16.6869,16.6869,0.0000,13.6441,8.2499,7.3130,0.9369,44.9311,16.6646,-3.0877,51.4515,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,100.6273,16.0087,15.8904,0.1183,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,68.1384,16.0067,16.0067,0.0000,13.5705,8.2748,7.2419,1.0329,44.9088,16.6470,0.0223,68.1384,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,116.6360,15.8425,15.6034,0.2391,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,84.1451,16.6786,16.6786,0.0000,13.2335,8.5190,7.4296,1.0894,45.5491,16.6747,-0.6403,84.1451,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,132.4785,18.3963,18.2904,0.1059,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,100.8237,16.0883,16.0883,0.0000,12.2624,8.8898,7.5609,1.3289,45.5452,16.6737,0.0039,100.8237,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,150.8748,14.6147,14.4994,0.1153,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,116.9120,15.8024,15.8024,0.0000,12.7001,8.8062,7.5730,1.2332,46.1306,16.6598,-0.5854,116.9120,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,165.4895,17.4824,17.3339,0.1485,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,132.7144,18.3330,18.3330,0.0000,14.0611,9.4275,7.7926,1.6349,46.9880,16.6631,-0.8574,132.7144,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,182.9719,15.7428,15.5657,0.1771,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,151.0474,14.8278,14.8278,0.0000,11.6802,9.3951,8.4513,0.9438,45.3181,16.6714,1.6699,151.0474,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,198.7147,19.0207,18.9201,0.1006,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,165.8752,17.2302,17.2302,0.0000,14.3882,9.3637,8.3079,1.0558,47.1617,16.7031,-1.8436,165.8752,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,217.7354,16.5314,16.4151,0.1163,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
