Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,11.6950,15.9680,15.8081,0.1599,8.3641,15.1293,9.9419,5.1874,43.9838,16.7308,NA,11.6950,NA,50.5001,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,27.6630,15.8794,15.7108,0.1686,8.6440,14.4470,9.7600,4.6870,44.7466,16.6096,-0.7628,27.6630,NA,51.2320,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,43.5424,16.1014,15.8714,0.2300,8.1186,9.6004,9.5079,0.0925,45.4768,16.6818,-0.7302,43.5424,NA,47.8001,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,59.6438,17.0118,16.7908,0.2210,8.2538,15.8875,9.7538,6.1337,46.0572,16.6602,-0.5804,59.6438,NA,48.4874,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,76.6556,20.7201,20.5112,0.2089,12.3479,13.4717,9.2444,4.2273,45.7056,16.6596,0.3516,76.6556,NA,49.1539,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,97.3757,15.4159,15.2890,0.1269,7.0833,15.4919,9.8540,5.6379,41.6451,16.6615,4.0605,97.3757,NA,57.6714,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,112.7916,19.2386,19.1174,0.1212,8.6987,15.6658,9.1669,6.4989,42.8907,16.6565,-1.2456,112.7916,NA,42.4762,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,132.0302,16.5020,16.4009,0.1011,10.8308,11.8459,9.7208,2.1251,40.3086,16.7862,2.5821,132.0302,NA,43.1568,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,148.5322,18.3316,18.1226,0.2090,9.9516,13.4477,9.8096,3.6381,40.5928,33.2214,-0.2842,148.5322,NA,51.9124,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,166.8638,19.6943,19.5655,0.1288,12.6809,12.5100,9.7892,2.7208,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,186.5581,12.7340,12.5806,0.1534,7.1967,10.9257,9.7098,1.2159,35.7883,16.6730,4.8045,186.5581,NA,41.1215,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,199.2921,16.8477,16.6767,0.1710,9.9756,12.0661,10.1759,1.8902,39.7273,16.6671,-3.9390,199.2921,NA,45.8046,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,216.1398,16.7157,16.5817,0.1340,6.4189,14.4739,9.4583,5.0156,39.5467,16.7013,0.1806,216.1398,NA,42.4464,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,232.8555,16.0031,15.8265,0.1766,7.5552,13.1025,9.6067,3.4958,39.5323,33.3008,0.0144,232.8555,NA,39.1621,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,248.8586,19.7010,19.3844,0.3166,13.1431,12.0926,9.8126,2.2800,56.8300,16.6654,-17.2977,248.8586,NA,56.4987,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,268.5596,19.5189,19.3296,0.1893,10.2269,15.1028,10.0476,5.0552,53.7944,16.6518,3.0356,268.5596,NA,55.1760,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,288.0785,17.4117,17.1217,0.2900,7.8404,14.6452,10.0872,4.5580,50.9273,16.7013,2.8671,288.0785,NA,51.8198,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,305.4902,25.6761,25.5529,0.1232,18.2033,12.9612,9.9117,3.0495,50.2169,33.3021,0.7104,305.4902,NA,48.4652,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,331.1663,23.7224,23.4618,0.2606,17.0795,11.9556,9.8434,2.1122,57.8429,16.6955,-7.6260,331.1663,NA,57.8154,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,354.8887,17.8559,17.4225,0.4334,10.6088,12.5574,9.8378,2.7196,50.8160,16.6409,7.0269,354.8887,NA,50.4911,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,372.7446,17.6272,17.4951,0.1321,10.6563,13.1171,10.0782,3.0389,49.6010,16.6769,1.2150,372.7446,NA,55.1713,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,390.3718,20.9961,20.7261,0.2700,13.2304,14.6075,10.5745,4.0330,48.6507,16.6619,0.9503,390.3718,NA,63.8294,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,411.3679,16.2362,16.0856,0.1506,10.0836,13.0829,10.1992,2.8837,44.3165,16.6404,4.3342,411.3679,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,427.6041,20.4860,19.9094,0.5766,9.6026,16.2720,10.2905,5.9815,44.7207,33.3641,-0.4042,427.6041,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,448.0901,18.4829,18.3693,0.1136,11.1602,13.4277,10.4111,3.0166,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,466.5730,13.8652,13.7066,0.1586,6.6157,12.5368,10.6424,1.8944,39.1159,16.7946,5.6048,466.5730,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,480.4382,11.8910,11.7437,0.1473,7.1552,11.4541,10.3344,1.1197,42.0453,16.5611,-2.9294,480.4382,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,492.3292,18.7950,18.6477,0.1473,11.3326,15.0569,10.1827,4.8742,46.7154,16.6516,-4.6701,492.3292,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,511.1242,12.6176,12.3694,0.2482,7.5945,11.6036,9.9812,1.6224,44.5720,16.6665,2.1434,511.1242,NA,NA,NA
