Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,16.1241,12.0901,11.9483,0.1418,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,28.2142,12.7930,12.6574,0.1356,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,5.2256,11.1722,11.1722,0.0000,7.3200,7.9790,7.5999,0.3791,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,41.0072,16.7675,16.6074,0.1601,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,16.3978,12.0816,12.0816,0.0000,7.7485,7.9345,7.8746,0.0599,33.8649,16.6675,NA,16.3978,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,57.7747,16.5771,16.3681,0.2090,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,28.4794,12.6793,12.6793,0.0000,8.9683,9.0961,7.8007,1.2954,38.4508,16.6905,-4.5859,28.4794,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,74.3518,18.2807,18.0611,0.2196,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,41.1587,16.8917,16.8917,0.0000,12.6968,8.6244,7.7670,0.8574,42.4620,16.6355,-4.0112,41.1587,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,92.6325,16.4560,16.2703,0.1857,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,58.0504,16.4585,16.4585,0.0000,12.2172,8.7078,7.5901,1.1177,42.2058,16.6636,0.2562,58.0504,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,109.0885,15.4591,15.3104,0.1487,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
