Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,15.1634,12.1092,11.9027,0.2065,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,27.2726,12.2003,12.0702,0.1301,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,39.4729,12.0497,11.9169,0.1328,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,3.2981,12.1349,12.1349,0.0000,11.9850,11.9144,10.8322,1.0822,43.8369,16.6594,NA,3.2981,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,51.5226,16.5585,16.3648,0.1937,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,15.4330,11.9584,11.9584,0.0000,11.7645,12.1599,10.8190,1.3409,48.3614,16.6632,-4.5245,15.4330,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,27.3914,12.2696,12.2696,0.0000,11.9660,10.7805,10.7260,0.0545,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,68.0811,17.4064,17.2908,0.1156,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,39.6610,12.0664,12.0664,0.0000,10.4769,11.5837,10.5236,1.0601,40.7966,16.6712,7.5648,39.6610,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,85.4875,17.1024,16.9742,0.1282,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,51.7274,16.4958,16.4958,0.0000,14.0719,12.1734,11.1283,1.0451,45.4014,16.6843,-4.6048,51.7274,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,102.5899,16.7301,16.6225,0.1076,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,68.2232,17.3984,17.3984,0.0000,14.6071,11.9054,10.9796,0.9258,45.5899,16.6480,-0.1885,68.2232,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,119.3200,16.7454,16.6127,0.1327,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,85.6216,17.0941,17.0941,0.0000,14.3488,12.5234,11.4084,1.1150,44.8395,16.6763,0.7504,85.6216,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,136.0654,18.7556,18.5954,0.1602,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,102.7157,16.7529,16.7529,0.0000,13.7851,11.9025,10.8821,1.0204,44.4217,16.6425,0.4178,102.7157,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,154.8210,17.8595,17.6078,0.2517,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,119.4686,16.8028,16.8028,0.0000,13.8536,13.1846,11.5542,1.6304,44.3113,16.6867,0.1104,119.4686,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,172.6805,17.7027,17.4531,0.2496,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,190.3832,18.3097,18.1126,0.1971,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,136.2714,18.7867,18.7867,0.0000,15.2191,12.0681,10.8979,1.1702,44.1952,33.3448,0.1161,136.2714,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,208.6929,16.2204,15.9970,0.2234,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,155.0581,17.9420,17.9420,0.0000,13.1207,12.7299,11.4905,1.2394,58.7533,16.6464,-14.5581,155.0581,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,224.9133,14.7517,14.5519,0.1998,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,173.0001,17.7109,17.7109,0.0000,12.8391,12.2705,11.1927,1.0778,57.4577,16.7182,1.2956,173.0001,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,239.6650,17.0644,16.9192,0.1452,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,190.7110,18.3643,18.3643,0.0000,13.1139,11.5645,11.5109,0.0536,56.4650,16.6046,0.9927,190.7110,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,256.7294,18.6290,18.4733,0.1557,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,209.0753,15.9874,15.9874,0.0000,9.6239,12.8606,11.5385,1.3221,54.7053,16.7120,1.7597,209.0753,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,225.0627,14.9232,14.9232,0.0000,10.6208,12.4712,11.4581,1.0131,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,275.3584,19.8758,19.6227,0.2531,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,295.2342,11.8819,11.6620,0.2199,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,239.9859,17.3967,17.3967,0.0000,11.7664,11.7003,10.9844,0.7159,40.5067,33.3113,14.1986,239.9859,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,307.1161,15.1842,14.9435,0.2407,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,257.3826,18.1884,18.1884,0.0000,12.3589,12.3067,11.1767,1.1300,56.4213,16.6438,-15.9146,257.3826,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,322.3003,17.3193,17.0912,0.2281,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,275.5710,19.8976,19.8976,0.0000,14.7016,11.2657,11.2071,0.0586,54.8767,16.7140,1.5446,275.5710,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,295.4686,11.9653,11.9653,0.0000,7.8497,12.0599,11.3753,0.6846,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,339.6196,22.3480,22.2028,0.1452,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,361.9676,10.7821,10.5569,0.2252,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,307.4339,15.2187,15.2187,0.0000,10.7252,11.4698,10.8394,0.6304,39.7278,33.3863,15.1489,307.4339,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,372.7497,16.4979,16.3017,0.1962,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,322.6526,17.5695,17.5695,0.0000,12.7656,12.5191,11.5010,1.0181,57.8954,16.5676,-18.1676,322.6526,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,340.2221,21.9140,21.9140,0.0000,15.2065,12.9958,11.3091,1.6867,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,389.2476,16.1017,15.8414,0.2603,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,362.1361,11.1392,11.1392,0.0000,6.2883,12.2009,11.3839,0.8170,34.9795,16.6581,22.9159,362.1361,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,405.3493,21.0387,20.8986,0.1401,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,373.2753,16.3143,16.3143,0.0000,11.7017,10.7126,10.6567,0.0559,40.4984,16.7740,-5.5189,373.2753,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,426.3880,12.1695,11.9856,0.1839,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,438.5575,17.6587,17.4998,0.1589,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,389.5896,16.0339,16.0339,0.0000,11.7699,11.6032,11.5191,0.0841,40.9581,33.2300,-0.4597,389.5896,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,405.6235,20.9540,20.9540,0.0000,12.9122,14.5609,11.7029,2.8580,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,456.2162,16.1148,15.8755,0.2393,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,426.5775,13.0255,13.0255,0.0000,8.0193,12.1059,11.6692,0.4367,37.2002,16.6607,3.7579,426.5775,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,472.3310,20.1654,19.9580,0.2074,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,439.6030,16.8123,16.8123,0.0000,11.7325,11.2660,11.1958,0.0702,40.8354,50.0735,-3.6352,439.6030,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,492.4964,14.3368,14.1862,0.1506,8.8141,16.1667,12.2219,3.9448,104.6494,16.6237,NA,492.4964,NA,124.8304,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,506.8332,47.3373,47.1615,0.1758,43.2417,11.1721,11.1040,0.0681,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,554.1705,23.0713,22.9005,0.1708,18.8810,15.4870,11.9713,3.5157,59.5990,16.6466,45.0504,554.1705,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,577.2418,13.0514,12.9389,0.1125,11.2967,11.0811,11.0089,0.0722,53.1743,16.6720,6.4247,577.2418,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,590.2932,15.3442,15.1966,0.1476,11.3556,13.3904,11.8821,1.5083,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,605.6374,14.8758,14.7647,0.1111,13.2115,10.7010,10.6427,0.0583,41.4507,16.7174,11.7236,605.6374,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,620.5132,14.7496,14.5108,0.2388,11.9807,13.1538,11.5143,1.6395,43.2923,33.2774,-1.8416,620.5132,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,635.2628,18.6103,18.4529,0.1574,14.3496,14.5978,11.5882,3.0096,61.8201,16.6977,-18.5278,635.2628,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,653.8731,18.0375,17.9075,0.1300,14.2886,13.4081,11.7305,1.6776,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,671.9106,15.9382,15.8435,0.0947,12.0778,12.8914,11.4353,1.4561,41.8700,66.6440,19.9501,671.9106,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,687.8488,18.1340,17.9175,0.2165,13.1066,14.0056,12.3087,1.6969,92.5758,33.3349,-50.7058,687.8488,NA,88.1682,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,705.9828,17.9577,17.8182,0.1395,12.8406,62.1361,12.4159,49.7202,107.7767,33.3333,-15.2009,705.9828,NA,101.4245,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,723.9405,14.7286,14.6169,0.1117,57.0190,33.2688,12.5504,20.7184,123.1523,16.6858,-15.3756,723.9405,NA,118.8244,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,738.6691,55.7059,55.5723,0.1336,75.5592,33.4993,12.0249,21.4744,125.1095,5.2541,-1.9572,738.6691,NA,87.5415,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,794.3750,32.3420,32.2535,0.0885,53.3526,16.7691,12.3664,4.4027,74.6577,9.2231,50.4518,794.3750,NA,56.8181,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,826.7170,33.5749,33.4593,0.1156,37.7797,12.9363,12.5005,0.4358,51.5388,13.8993,23.1189,826.7170,NA,30.0167,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,860.2919,17.0444,16.8602,0.1842,17.1411,13.6642,12.9009,0.7633,31.8632,12.8732,19.6756,860.2919,NA,27.8383,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,877.3363,13.0446,12.9300,0.1146,13.8692,13.1275,12.6462,0.4813,27.6920,13.8578,4.1712,877.3363,NA,28.7964,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,890.3809,13.7589,13.5553,0.2036,13.9521,13.1665,12.8296,0.3369,28.5052,16.7095,-0.8132,890.3809,NA,26.6590,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,904.1398,14.5451,14.4438,0.1013,13.3597,13.1736,12.4938,0.6798,31.4558,9.9993,-2.9506,904.1398,NA,27.2113,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,918.6849,16.1198,15.9802,0.1396,13.0945,13.6987,13.2928,0.4059,26.9100,15.0322,4.5458,918.6849,NA,21.3623,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,934.8047,16.6137,16.4464,0.1673,12.1436,12.6706,12.3145,0.3561,25.8224,17.8446,1.0876,934.8047,NA,20.3831,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,951.4184,17.6235,17.5043,0.1192,12.6658,13.5544,12.8333,0.7211,27.0533,17.2959,-1.2309,951.4184,NA,18.2236,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,969.0419,15.9111,15.6607,0.2504,11.8632,14.7340,14.1785,0.5555,26.7257,16.9796,0.3276,969.0419,NA,19.5126,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,984.9530,17.3217,17.1208,0.2009,12.6684,14.9245,14.3918,0.5327,27.7942,15.7125,-1.0685,984.9530,NA,22.4967,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1002.2747,15.9473,15.6625,0.2848,12.0243,13.9949,13.6255,0.3694,26.1850,16.4394,1.6092,1002.2747,NA,18.2134,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1018.2220,15.5673,15.4586,0.1087,11.6049,14.2335,13.9291,0.3044,26.6771,13.8593,-0.4921,1018.2220,NA,22.6420,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1033.7893,14.7414,14.5125,0.2289,11.4670,12.8552,12.5604,0.2948,24.9691,19.6955,1.7080,1033.7893,NA,24.5102,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1048.5307,21.1705,20.9999,0.1706,17.0496,12.6293,12.3830,0.2463,29.9232,14.5818,-4.9541,1048.5307,NA,20.1392,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1069.7012,14.8203,14.6070,0.2133,10.3740,12.2728,11.8590,0.4138,23.3345,17.1271,6.5887,1069.7012,NA,22.6591,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1084.5215,18.5338,18.4196,0.1142,12.4652,12.4238,11.4964,0.9274,25.6413,17.5968,-2.3068,1084.5215,NA,19.9057,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1103.0553,16.2179,16.0253,0.1926,12.1117,11.9912,11.6487,0.3425,24.7043,16.1935,0.9370,1103.0553,NA,17.5144,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1119.2732,17.2320,17.1213,0.1107,11.8866,11.9627,11.6361,0.3266,24.6799,13.8464,0.0244,1119.2732,NA,17.7015,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1136.5052,11.8875,11.6407,0.2468,9.1143,11.3791,10.9767,0.4024,21.2943,16.6775,3.3856,1136.5052,NA,15.5555,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1148.3927,16.0676,15.9074,0.1602,13.3630,11.9424,11.1683,0.7741,26.0843,16.2105,-4.7900,1148.3927,NA,16.2150,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1164.4603,18.2161,18.0397,0.1764,13.9539,11.4599,11.0373,0.4226,26.2272,16.2039,-0.1429,1164.4603,NA,16.4492,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1182.6764,13.7187,13.6117,0.1070,11.3316,11.8394,11.3953,0.4441,24.2150,16.1948,2.0122,1182.6764,NA,24.5438,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1196.3951,18.1419,17.9273,0.2146,14.6805,11.1612,10.9492,0.2120,26.6911,16.6564,-2.4761,1196.3951,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1214.5370,15.8181,15.6167,0.2014,12.7047,11.7260,11.5062,0.2198,25.2056,18.5282,1.4855,1214.5370,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1230.3551,20.4820,20.3506,0.1314,15.6203,11.3309,11.0751,0.2558,27.9157,16.6904,-2.7101,1230.3551,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1250.8371,15.8910,15.7291,0.1619,11.1085,12.3247,11.9032,0.4215,24.1241,16.6535,3.7916,1250.8371,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1266.7281,16.3552,16.1207,0.2345,12.1841,11.9367,11.5690,0.3677,24.8866,18.0721,-0.7625,1266.7281,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,1283.0833,18.3656,18.1799,0.1857,13.4799,12.2154,11.8929,0.3225,26.6035,15.2660,-1.7169,1283.0833,NA,NA,NA
