Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,40.3673,17.1038,17.0342,0.0696,16.9150,1.9758,1.9178,0.0580,73.2630,34.1759,NA,40.3673,NA,57.6628,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,57.4711,15.2859,15.2044,0.0815,15.1667,41.5318,2.1696,39.3622,90.3351,32.4886,-17.0721,57.4711,NA,75.8410,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,72.7570,16.7610,16.6945,0.0665,41.4126,34.2180,1.6428,32.5752,107.5378,33.3468,-17.2027,72.7570,NA,92.3274,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,89.5180,25.9286,25.8297,0.0989,58.8696,32.4807,2.0331,30.4476,124.1236,16.6641,-16.5858,89.5180,NA,109.6243,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,115.4466,34.5262,34.4170,0.1092,65.4217,33.4029,1.8640,31.5389,114.8591,5.3016,9.2645,115.4466,NA,106.3456,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,149.9728,32.3591,32.1678,0.1913,64.2984,16.8238,1.5287,15.2951,85.6345,1.3849,29.2246,149.9728,NA,87.6772,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,182.3319,33.1186,33.0382,0.0804,48.7631,5.2476,1.7853,3.4623,54.6603,1.8757,30.9742,182.3319,NA,57.0672,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,215.4505,17.0461,16.8643,0.1818,20.8921,1.7704,1.7076,0.0628,23.4174,1.8552,31.2429,215.4505,NA,22.9530,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,232.4966,5.4563,5.2334,0.2229,5.6164,1.6771,1.6165,0.0606,8.2265,4.4164,15.1909,232.4966,NA,8.7630,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,237.9529,4.8613,4.7895,0.0718,4.7020,1.8114,1.7202,0.0912,7.1866,13.1800,1.0399,237.9529,NA,5.2038,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,242.8142,13.1519,13.0785,0.0734,13.0078,1.6698,1.6281,0.0417,15.5053,16.6643,-8.3187,242.8142,NA,6.3960,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,255.9661,16.5347,16.4560,0.0787,16.3463,1.8078,1.7461,0.0617,19.0177,17.1168,-3.5124,255.9661,NA,3.0572,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,272.5008,17.1303,17.0600,0.0703,16.9955,1.6804,1.6450,0.0354,19.5998,17.1326,-0.5821,272.5008,NA,4.1785,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,289.6311,17.2723,17.1789,0.0934,17.0941,1.9076,1.8493,0.0583,19.6021,17.1371,-0.0023,289.6311,NA,5.2973,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,306.9034,16.7130,16.6319,0.0811,16.5532,1.9018,1.8482,0.0536,19.4669,17.1400,0.1352,306.9034,NA,6.4130,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,323.6164,17.5459,17.4589,0.0870,17.3785,1.7333,1.6894,0.0439,19.8939,15.2537,-0.4270,323.6164,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,341.1623,15.4531,15.3659,0.0872,15.2634,1.7660,1.7030,0.0630,17.6017,16.6590,2.2922,341.1623,NA,4.8379,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,356.6154,16.3121,16.2213,0.0908,16.1238,1.8817,1.8313,0.0504,18.8076,16.6772,-1.2059,356.6154,NA,5.4691,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,372.9275,16.6154,16.5308,0.0846,16.4299,2.0112,1.6790,0.3322,19.1727,16.1992,-0.3651,372.9275,NA,6.1629,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,389.5429,16.2288,16.1568,0.0720,16.0748,1.8756,1.8343,0.0413,18.7565,16.1926,0.4162,389.5429,NA,6.3685,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,405.7717,16.4585,16.3603,0.0982,16.2429,1.7586,1.6903,0.0683,18.7203,16.1993,0.0362,405.7717,NA,6.5037,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,422.2302,16.2648,16.1720,0.0928,16.0856,1.6905,1.6376,0.0529,18.4611,18.0932,0.2592,422.2302,NA,2.7592,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,438.4950,17.5581,17.4608,0.0973,17.3837,1.9343,1.8825,0.0518,20.2895,16.6823,-1.8284,438.4950,NA,4.8544,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,456.0531,16.7897,16.6946,0.0951,16.6285,1.9575,1.9050,0.0525,19.4137,16.6646,0.8758,456.0531,NA,5.5313,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,472.8428,16.7736,16.6803,0.0933,16.5748,1.8935,1.8402,0.0533,19.2886,16.1707,0.1251,472.8428,NA,6.2099,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,489.6164,16.3648,16.2735,0.0913,16.1640,1.7808,1.7300,0.0508,18.6857,17.1385,0.6029,489.6164,NA,6.3861,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,505.9812,16.9457,16.8557,0.0900,16.7670,1.7248,1.6688,0.0560,19.4594,16.6506,-0.7737,505.9812,NA,3.5105,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,522.9269,16.5557,16.4646,0.0911,16.3565,1.9658,1.9092,0.0566,19.1643,15.7348,0.2951,522.9269,NA,4.1475,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,539.4826,16.1002,16.0184,0.0818,15.9474,1.7274,1.6689,0.0585,18.3434,16.6635,0.8209,539.4826,NA,3.8947,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,555.5828,16.3423,16.2539,0.0884,16.1593,1.7773,1.7192,0.0581,18.9067,16.6714,-0.5633,555.5828,NA,4.5695,NA
