Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,28.1204,32.8750,32.7172,0.1578,47.2298,33.1492,17.2005,15.9487,96.5474,15.7591,NA,28.1204,NA,83.8175,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,60.9954,33.0906,32.9940,0.0966,47.6998,22.8139,19.0886,3.7253,79.4315,16.6765,17.1159,60.9954,NA,67.6102,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,94.0860,37.4743,37.1812,0.2931,37.4231,20.0182,17.8537,2.1645,63.0174,17.1337,16.4141,94.0860,NA,48.2751,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,131.5603,19.8827,19.7440,0.1387,19.9670,21.8076,19.9109,1.8967,42.6768,32.8575,20.3406,131.5603,NA,45.3725,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,151.4430,21.7090,21.5483,0.1607,21.8919,23.5980,20.2592,3.3388,55.6516,16.6869,-12.9748,151.4430,NA,58.2399,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,173.1520,23.5785,23.4638,0.1147,23.7809,21.6502,19.8315,1.8187,50.6295,16.7484,5.0221,173.1520,NA,50.9196,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,196.7305,21.9125,21.6261,0.2864,21.8526,18.0325,16.8575,1.1750,43.7994,16.5880,6.8301,196.7305,NA,43.6593,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,218.6430,17.8797,17.7547,0.1250,17.9726,15.8296,14.7216,1.1080,38.4749,16.7230,5.3245,218.6430,NA,40.2444,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,236.5227,15.9001,15.7016,0.1985,15.9225,15.6926,14.6824,1.0102,37.3182,16.6302,1.1567,236.5227,NA,36.9644,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,252.4228,15.6386,15.4276,0.2110,15.7150,16.0744,15.0110,1.0634,38.0483,16.6388,-0.7301,252.4228,NA,37.6116,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,268.0614,16.1566,15.9706,0.1860,16.1508,15.7160,14.7178,0.9982,39.0485,16.6882,-1.0002,268.0614,NA,46.2554,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,284.2180,16.2985,16.0423,0.2562,15.7102,15.4058,15.0062,0.3996,39.5801,16.6454,-0.5316,284.2180,NA,42.9335,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,300.5165,16.8470,16.7364,0.1106,14.8175,15.7062,14.8329,0.8733,39.9270,16.6555,-0.3469,300.5165,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,317.3635,18.6152,18.4733,0.1419,13.6767,17.0771,15.7680,1.3091,39.7355,16.6599,0.1915,317.3635,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,335.9787,14.2362,14.1469,0.0893,12.1386,16.4643,15.4557,1.0086,37.7802,16.6678,1.9553,335.9787,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,350.2149,16.5329,16.3265,0.2064,14.3667,16.5754,15.7657,0.8097,40.2118,16.6982,-2.4316,350.2149,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,366.7478,15.8896,15.7802,0.1094,14.4092,16.2579,15.3224,0.9355,40.3771,16.6604,-0.1653,366.7478,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,382.6374,16.1228,16.0112,0.1116,14.7775,16.5029,15.4315,1.0714,41.1479,16.7037,-0.7708,382.6374,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,398.7602,20.7174,20.5040,0.2134,15.1576,15.9143,15.1738,0.7405,41.7288,16.6651,-0.5809,398.7602,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,419.4776,15.3434,15.1965,0.1469,10.3545,17.0708,16.0202,1.0506,37.6765,16.6090,4.0523,419.4776,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,434.8210,15.1302,14.7327,0.3975,12.0819,16.4951,15.5811,0.9140,38.9421,16.6625,-1.2656,434.8210,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,449.9512,22.7665,22.6521,0.1144,14.5954,18.1742,15.9621,2.2121,40.4744,16.6737,-1.5323,449.9512,NA,39.5129,39.5129
