Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,10.8610,20.1465,20.0087,0.1378,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,31.0075,21.6717,21.4815,0.1902,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,52.6792,19.1574,18.9963,0.1611,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,71.8366,19.2878,19.0082,0.2796,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,11.0037,20.2305,20.2305,0.0000,19.6227,21.9229,19.2184,2.7045,64.1411,16.4683,NA,11.0037,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,31.2342,21.5781,21.5781,0.0000,21.3151,19.2391,18.2928,0.9463,60.3789,16.6825,3.7622,31.2342,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,91.1244,18.6102,18.4351,0.1751,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,109.7346,19.3110,19.1412,0.1698,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,52.8123,19.2168,19.2168,0.0000,18.9761,19.1420,17.9820,1.1600,55.4833,33.3276,4.8956,52.8123,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,129.0456,19.8597,19.5538,0.3059,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,72.0291,19.2072,19.2072,0.0000,18.9013,18.7337,17.7622,0.9715,69.5941,16.6340,-14.1108,72.0291,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,148.9053,21.3237,21.1381,0.1856,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,91.2363,18.6616,18.6616,0.0000,18.4278,19.5867,18.1493,1.4374,67.0209,16.7606,2.5732,91.2363,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,170.2290,19.3201,19.0673,0.2528,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,109.8979,19.5862,19.5862,0.0000,19.3529,19.3874,18.3523,1.0351,65.1199,16.6339,1.9010,109.8979,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,129.4841,19.5593,19.5593,0.0000,19.2862,21.4456,18.7601,2.6855,62.1676,16.6231,2.9523,129.4841,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,189.5491,20.0076,19.8120,0.1956,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,209.5567,21.0033,20.8808,0.1225,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,149.0434,21.3614,21.3614,0.0000,21.1725,19.2258,18.2482,0.9776,59.2314,33.3473,2.9362,149.0434,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,230.5600,20.1123,19.8941,0.2182,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,170.4048,19.2607,19.2607,0.0000,19.0369,19.8906,19.0567,0.8339,71.2173,16.6429,-11.9859,170.4048,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,250.6723,19.7880,19.5759,0.2121,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,189.6655,20.0518,20.0518,0.0000,19.6668,20.7343,19.5105,1.2238,68.5995,16.7252,2.6178,189.6655,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,270.4603,20.3076,20.0471,0.2605,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,209.7173,21.0438,21.0438,0.0000,20.3493,20.4292,19.5653,0.8639,65.2729,16.6132,3.3266,209.7173,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,230.7611,20.0746,20.0746,0.0000,19.7347,19.9345,19.2952,0.6393,60.8423,16.6949,4.4306,230.7611,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Composed: Flip,290.7679,20.7389,20.1404,0.5985,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,311.5068,20.1768,19.9586,0.2182,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,250.8357,19.8070,19.8070,0.0000,19.5946,20.2787,19.4969,0.7818,57.4626,33.3036,3.3797,250.8357,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,331.6836,21.9738,21.6453,0.3285,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,270.6427,20.3105,20.3105,0.0000,20.0663,20.3668,19.1451,1.2217,70.9592,33.3263,-13.4966,270.6427,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,353.6574,21.7463,21.6003,0.1460,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,290.9532,41.7644,41.7644,0.0000,20.1226,42.1969,38.8486,3.3483,83.9750,16.6820,-13.0158,290.9532,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,375.4037,18.2890,18.1262,0.1628,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,393.6927,19.7186,19.5159,0.2027,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,332.7176,21.1535,21.1535,0.0000,20.5551,20.1174,19.4191,0.6983,58.8926,33.3316,25.0824,332.7176,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,413.4113,20.5645,20.4079,0.1566,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,353.8711,21.9780,21.9780,0.0000,19.5190,20.0350,19.3901,0.6449,71.0707,16.6613,-12.1781,353.8711,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,433.9758,20.4333,20.1711,0.2622,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,375.8491,18.0822,18.0822,0.0000,17.5760,20.0418,19.4804,0.5614,65.7540,16.6976,5.3167,375.8491,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,454.4091,19.6176,19.4502,0.1674,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,393.9313,19.6780,19.6780,0.0000,19.5356,20.4641,19.3429,1.1212,64.3694,16.6264,1.3846,393.9313,NA,NA,NA
