Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,17.2214,18.8463,18.7336,0.1127,10.2547,17.8030,15.9089,1.8941,29.9646,16.6572,NA,17.2214,NA,32.9387,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,36.0677,12.5144,12.3584,0.1560,9.2114,16.7537,15.0847,1.6690,27.7755,16.6693,2.1891,36.0677,NA,29.5645,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,48.5821,13.8825,13.7599,0.1226,13.4507,17.1550,15.7854,1.3696,31.9304,16.6610,-4.1549,48.5821,NA,30.2588,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,62.4646,17.5539,17.4315,0.1224,16.7232,16.4583,15.5224,0.9359,34.7089,16.7261,-2.7785,62.4646,NA,30.9598,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,80.0185,16.2246,16.0568,0.1678,15.6276,17.0115,15.9460,1.0655,33.8811,16.6603,0.8278,80.0185,NA,35.6839,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,96.2431,16.4675,16.3254,0.1421,16.4145,16.7485,15.9884,0.7601,34.3168,17.0684,-0.4357,96.2431,NA,32.2886,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,112.7106,22.7416,22.5463,0.1953,16.6955,17.3302,16.2976,1.0326,34.9177,21.8199,-0.6009,112.7106,NA,33.4578,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,135.4522,22.9322,22.8104,0.1218,16.4539,16.7616,16.0255,0.7361,33.9960,17.1244,0.9217,135.4522,NA,35.1821,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,158.3844,13.3500,12.9914,0.3586,10.2833,17.0143,16.3119,0.7024,28.1882,16.1962,5.8078,158.3844,NA,28.3484,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,171.7344,14.6882,14.5707,0.1175,13.9476,16.2567,15.4624,0.7943,31.0344,27.7390,-2.8462,171.7344,NA,28.5688,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,186.4226,33.3455,33.2258,0.1197,26.6441,16.5324,16.4218,0.1106,44.0852,20.3894,-13.0508,186.4226,NA,44.2885,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,1,Hardware Composed: Independent Flip,219.7681,19.8166,19.5091,0.3075,9.8310,20.2516,16.0912,4.1604,31.1291,17.5961,12.9561,219.7681,NA,32.6891,NA
