Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,5.8095,12.2960,12.1900,0.1060,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,18.1055,16.0835,15.9347,0.1488,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,34.1890,16.7344,16.5422,0.1922,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,5.9762,12.2381,12.2381,0.0000,11.9279,1.6639,1.6005,0.0634,44.1116,16.6740,NA,5.9762,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,50.9234,16.0274,15.9027,0.1247,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,18.2143,16.1278,16.1278,0.0000,15.8401,1.6750,1.6011,0.0739,48.5475,16.6684,-4.4359,18.2143,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,66.9508,16.9900,16.8871,0.1029,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,34.3421,16.6942,16.6942,0.0000,16.2994,1.7602,1.7203,0.0399,49.0881,16.6588,-0.5406,34.3421,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,83.9408,16.8934,16.7779,0.1155,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,51.0363,16.2191,16.2191,0.0000,15.6407,1.8997,1.8410,0.0587,49.0527,16.6765,0.0354,51.0363,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,100.8342,17.5744,17.4228,0.1516,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,67.2554,16.8519,16.8519,0.0000,16.4835,1.7330,1.6881,0.0449,49.5101,16.6600,-0.4574,67.2554,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,118.4086,16.7631,16.5869,0.1762,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,84.1073,16.8702,16.8702,0.0000,16.5305,2.0304,1.9850,0.0454,49.3182,16.7210,0.1919,84.1073,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,135.1717,15.7979,15.6869,0.1110,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,100.9775,17.5673,17.5673,0.0000,17.1408,2.0368,1.7239,0.3129,49.1690,16.6030,0.1492,100.9775,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,150.9696,20.0149,19.8821,0.1328,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,118.5448,16.7343,16.7343,0.0000,16.3685,1.8496,1.6947,0.1549,48.2047,16.7037,0.9643,118.5448,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,170.9845,14.3452,14.2318,0.1134,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,135.2791,15.8133,15.8133,0.0000,15.4592,1.8981,1.8491,0.0490,48.1741,16.6995,0.0306,135.2791,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,185.3297,14.9217,14.8089,0.1128,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,151.0924,20.0244,20.0244,0.0000,20.7158,1.5160,1.3810,0.1350,49.0603,16.6242,-0.8862,151.0924,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,200.2514,17.3968,17.2793,0.1175,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,217.6482,14.9273,14.8412,0.0861,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,171.1168,14.4098,14.4098,0.0000,13.9853,3.3687,1.5950,1.7737,45.6601,16.6559,3.4002,171.1168,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,232.5755,17.0391,16.9290,0.1101,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,185.5266,14.9038,14.9038,0.0000,14.6595,1.8043,1.7614,0.0429,47.9062,16.7601,-2.2461,185.5266,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,200.4304,17.3222,17.3222,0.0000,17.0102,1.8600,1.7904,0.0696,49.7625,16.5797,-1.8563,200.4304,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,249.6146,17.6169,17.4479,0.1690,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,267.2315,15.9305,15.8323,0.0982,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,217.7526,14.9426,14.9426,0.0000,14.7041,1.7418,1.6778,0.0640,49.0200,16.6644,0.7425,217.7526,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,283.1620,16.4531,16.3405,0.1126,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,232.6952,17.0267,17.0267,0.0000,16.7691,1.8489,1.8085,0.0404,50.7418,16.7296,-1.7218,232.6952,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,299.6151,16.9617,16.8630,0.0987,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,249.7219,17.6589,17.6589,0.0000,17.1060,1.9554,1.9126,0.0428,50.4447,16.5855,0.2971,249.7219,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,316.5768,15.9890,15.8948,0.0942,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,267.3808,15.9240,15.9240,0.0000,15.6098,1.9556,1.8910,0.0646,49.3713,16.6613,1.0734,267.3808,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,332.5658,16.5823,16.4965,0.0858,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,283.3048,16.4580,16.4580,0.0000,16.1272,1.7936,1.7483,0.0453,50.1086,16.6608,-0.7373,283.3048,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,349.1481,16.0174,15.9286,0.0888,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,299.7628,16.9293,16.9293,0.0000,16.6799,1.8914,1.8423,0.0491,50.3114,16.6692,-0.2028,299.7628,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,365.1655,16.8933,16.7870,0.1063,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,316.6921,16.0026,16.0026,0.0000,15.7254,1.9105,1.8191,0.0914,50.0513,16.6624,0.2601,316.6921,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,382.0588,16.5249,16.4302,0.0947,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,332.6947,16.5781,16.5781,0.0000,16.3045,1.8147,1.6519,0.1628,50.7111,16.6646,-0.6598,332.6947,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,398.5837,16.9042,16.8086,0.0956,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
GenshinImpact.exe,1008,0x0,Other,-1,0,0,Composed: Flip,349.2728,16.0066,16.0066,0.0000,15.7508,1.8941,1.8387,0.0554,50.7976,16.6989,-0.0865,349.2728,NA,NA,NA
GenshinImpact.exe,1008,0x1B3278B2550,DXGI,0,0,0,Other,415.4879,16.8351,16.7454,0.0897,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA,NA,NA
