ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-04T19:06:43.146957,100.0,88.6,13.941,15.729,48.7
2026-02-04T19:06:44.364224,100.0,88.7,13.956,15.729,48.7
2026-02-04T19:06:45.606245,100.0,88.8,13.969,15.729,48.7
2026-02-04T19:06:46.854608,100.0,88.9,13.982,15.729,48.7
2026-02-04T19:06:48.096208,100.0,89.1,14.016,15.729,48.7
2026-02-04T19:06:49.305598,100.0,89.1,14.013,15.729,48.7
2026-02-04T19:06:50.597162,100.0,88.5,13.928,15.729,48.7
2026-02-04T19:06:51.804968,62.9,88.4,13.909,15.729,48.7
2026-02-04T19:06:53.045204,100.0,88.4,13.901,15.729,48.7
2026-02-04T19:06:54.255404,100.0,88.5,13.914,15.729,48.7
2026-02-04T19:06:55.476966,88.2,88.3,13.881,15.729,48.7
2026-02-04T19:06:56.691979,100.0,88.3,13.887,15.729,48.7
2026-02-04T19:06:57.908460,100.0,88.3,13.881,15.729,48.7
2026-02-04T19:06:59.131662,100.0,88.3,13.893,15.729,48.7
2026-02-04T19:07:00.391858,92.2,88.4,13.904,15.729,48.7
2026-02-04T19:07:01.599330,94.6,88.4,13.905,15.729,48.7
2026-02-04T19:07:02.805843,93.0,88.4,13.911,15.729,48.7
2026-02-04T19:07:04.015925,96.3,88.4,13.908,15.729,48.7
2026-02-04T19:07:05.230713,100.0,88.4,13.905,15.729,48.7
2026-02-04T19:07:06.454248,100.0,88.3,13.883,15.729,48.7
2026-02-04T19:07:07.692967,100.0,88.1,13.862,15.729,48.7
2026-02-04T19:07:08.909012,85.6,88.2,13.87,15.729,48.7
2026-02-04T19:07:10.119639,81.7,88.2,13.873,15.729,48.7
2026-02-04T19:07:11.395640,100.0,88.3,13.884,15.729,48.7
2026-02-04T19:07:12.611753,100.0,88.2,13.878,15.729,48.7
2026-02-04T19:07:13.860628,100.0,88.2,13.873,15.729,48.7
2026-02-04T19:07:15.073813,100.0,88.2,13.875,15.729,48.7
2026-02-04T19:07:16.370411,100.0,88.2,13.874,15.729,48.7
2026-02-04T19:07:17.580867,67.3,88.2,13.872,15.729,48.7
2026-02-04T19:07:18.814725,100.0,88.1,13.864,15.729,48.7
2026-02-04T19:07:20.031806,76.5,88.2,13.874,15.729,48.7
2026-02-04T19:07:21.254527,95.4,88.1,13.865,15.729,48.7
2026-02-04T19:07:22.493506,91.0,88.1,13.865,15.729,48.7
2026-02-04T19:07:23.699521,61.5,88.1,13.865,15.729,48.7
2026-02-04T19:07:24.911432,92.7,88.2,13.875,15.729,48.7
2026-02-04T19:07:26.129478,87.4,88.2,13.879,15.729,48.7
2026-02-04T19:07:27.348270,100.0,88.3,13.888,15.729,48.7
2026-02-04T19:07:28.559841,98.2,88.3,13.882,15.729,48.7
2026-02-04T19:07:29.798253,94.1,88.3,13.886,15.729,48.7
2026-02-04T19:07:31.030419,90.0,88.2,13.88,15.729,48.7
2026-02-04T19:07:32.250473,100.0,88.3,13.883,15.729,48.7
2026-02-04T19:07:33.475574,98.3,88.3,13.889,15.729,48.7
2026-02-04T19:07:34.684329,69.7,88.3,13.886,15.729,48.7
2026-02-04T19:07:35.907955,85.6,88.3,13.885,15.729,48.7
2026-02-04T19:07:37.122526,96.5,88.2,13.878,15.729,48.7
2026-02-04T19:07:38.345796,100.0,88.3,13.882,15.729,48.7
2026-02-04T19:07:39.574975,93.6,88.2,13.877,15.729,48.7
2026-02-04T19:07:40.810065,95.7,88.3,13.883,15.729,48.7
2026-02-04T19:07:42.045986,99.1,88.3,13.885,15.729,48.7
