ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-04T19:15:17.079993,100.0,89.9,14.142,15.729,48.7
2026-02-04T19:15:18.316621,100.0,90.0,14.153,15.729,48.7
2026-02-04T19:15:19.527693,91.0,90.0,14.162,15.729,48.7
2026-02-04T19:15:20.839557,100.0,90.0,14.153,15.729,48.7
2026-02-04T19:15:22.056789,89.7,90.1,14.178,15.729,48.7
2026-02-04T19:15:23.265333,99.0,90.2,14.185,15.729,48.7
2026-02-04T19:15:24.474837,100.0,90.1,14.179,15.729,48.7
2026-02-04T19:15:25.718861,100.0,90.3,14.202,15.729,48.7
2026-02-04T19:15:27.087890,100.0,90.4,14.216,15.729,48.7
2026-02-04T19:15:28.297788,100.0,90.4,14.22,15.729,48.7
2026-02-04T19:15:29.663606,100.0,91.2,14.351,15.729,48.7
2026-02-04T19:15:30.880872,97.3,91.2,14.35,15.729,48.7
2026-02-04T19:15:32.111050,100.0,91.6,14.415,15.729,48.7
2026-02-04T19:15:33.394285,100.0,91.9,14.451,15.729,48.7
2026-02-04T19:15:34.657095,100.0,91.9,14.449,15.729,48.7
2026-02-04T19:15:35.893899,100.0,91.8,14.443,15.729,48.7
2026-02-04T19:15:37.103986,91.8,91.8,14.446,15.729,48.7
2026-02-04T19:15:38.341840,100.0,91.8,14.439,15.729,48.7
2026-02-04T19:15:39.573235,88.3,91.8,14.436,15.729,48.7
2026-02-04T19:15:40.817809,100.0,91.8,14.436,15.729,48.7
2026-02-04T19:15:42.064128,90.4,91.8,14.436,15.729,48.7
2026-02-04T19:15:43.292429,100.0,91.8,14.433,15.729,48.7
2026-02-04T19:15:44.507905,100.0,91.7,14.425,15.729,48.7
2026-02-04T19:15:45.750074,94.8,91.7,14.423,15.729,48.7
2026-02-04T19:15:46.972017,94.0,91.7,14.424,15.729,48.7
2026-02-04T19:15:48.184137,86.1,91.7,14.422,15.729,48.7
2026-02-04T19:15:49.476597,100.0,91.7,14.416,15.729,48.7
2026-02-04T19:15:50.780086,100.0,91.7,14.425,15.729,48.7
2026-02-04T19:15:52.003490,99.1,91.7,14.419,15.729,48.7
2026-02-04T19:15:53.217322,100.0,91.7,14.422,15.729,48.7
2026-02-04T19:15:54.590522,100.0,91.7,14.417,15.729,48.7
2026-02-04T19:15:55.865936,93.8,91.7,14.424,15.729,48.7
2026-02-04T19:15:57.077649,78.3,91.7,14.422,15.729,48.7
2026-02-04T19:15:58.311634,98.2,91.7,14.428,15.729,48.7
2026-02-04T19:15:59.519389,94.5,91.8,14.439,15.729,48.7
2026-02-04T19:16:00.767756,100.0,91.9,14.455,15.729,48.7
2026-02-04T19:16:01.975877,50.5,91.9,14.449,15.729,48.7
2026-02-04T19:16:03.206629,100.0,91.9,14.452,15.729,48.7
2026-02-04T19:16:04.426368,100.0,91.9,14.451,15.729,48.7
2026-02-04T19:16:05.647658,100.0,91.9,14.458,15.729,48.7
2026-02-04T19:16:06.881980,96.5,92.0,14.466,15.729,48.7
2026-02-04T19:16:08.087419,95.3,91.9,14.46,15.729,48.7
2026-02-04T19:16:09.355606,96.5,91.8,14.447,15.729,48.7
2026-02-04T19:16:10.564699,89.8,91.9,14.462,15.729,48.7
2026-02-04T19:16:11.794630,100.0,91.9,14.454,15.729,48.7
2026-02-04T19:16:13.040971,100.0,91.9,14.458,15.729,48.7
2026-02-04T19:16:14.364769,98.5,91.9,14.453,15.729,48.7
2026-02-04T19:16:15.601913,100.0,91.9,14.451,15.729,48.7
2026-02-04T19:16:16.858191,99.2,91.9,14.459,15.729,48.7
