ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T16:56:05.233829,59.6,94.3,14.834,15.729,47.8
2026-02-05T16:56:06.436722,28.8,94.6,14.873,15.729,47.8
2026-02-05T16:56:07.639351,23.1,94.7,14.898,15.729,47.8
2026-02-05T16:56:08.841179,35.6,94.3,14.828,15.729,47.8
2026-02-05T16:56:10.043968,41.3,94.2,14.822,15.729,47.8
2026-02-05T16:56:11.245913,29.8,94.9,14.924,15.729,47.8
2026-02-05T16:56:12.448496,36.2,94.8,14.906,15.729,47.8
2026-02-05T16:56:13.650754,33.3,94.9,14.921,15.729,47.8
2026-02-05T16:56:14.853161,36.4,94.8,14.917,15.729,47.8
2026-02-05T16:56:16.055231,42.7,94.8,14.912,15.729,47.8
2026-02-05T16:56:17.258707,51.5,94.7,14.902,15.729,47.8
2026-02-05T16:56:18.460828,50.5,94.7,14.892,15.729,47.8
2026-02-05T16:56:19.663530,69.4,94.9,14.921,15.729,47.8
2026-02-05T16:56:20.867184,47.4,94.8,14.916,15.729,47.8
2026-02-05T16:56:22.069803,52.5,94.7,14.895,15.729,47.8
2026-02-05T16:56:23.272787,55.1,94.8,14.905,15.729,47.8
2026-02-05T16:56:24.476195,87.6,94.7,14.903,15.729,47.8
2026-02-05T16:56:25.678951,68.9,94.8,14.909,15.729,47.8
2026-02-05T16:56:26.881575,50.0,94.8,14.906,15.729,47.8
2026-02-05T16:56:28.083870,29.8,94.7,14.898,15.729,47.8
2026-02-05T16:56:29.285455,48.1,94.8,14.908,15.729,47.8
2026-02-05T16:56:30.488309,35.8,94.9,14.924,15.729,47.8
2026-02-05T16:56:31.690883,30.2,94.9,14.931,15.729,47.8
2026-02-05T16:56:32.892935,37.1,94.9,14.931,15.729,47.8
2026-02-05T16:56:34.095012,34.0,94.9,14.923,15.729,47.8
2026-02-05T16:56:35.297479,32.7,94.9,14.919,15.729,47.8
2026-02-05T16:56:36.499914,30.5,94.6,14.886,15.729,47.8
2026-02-05T16:56:37.702251,57.5,94.7,14.896,15.729,47.8
2026-02-05T16:56:38.907041,53.3,94.7,14.894,15.729,47.8
2026-02-05T16:56:40.112221,27.6,94.6,14.875,15.729,47.8
2026-02-05T16:56:41.314559,32.7,94.6,14.875,15.729,47.8
2026-02-05T16:56:42.516554,30.5,94.6,14.877,15.729,47.8
2026-02-05T16:56:43.718600,32.1,94.6,14.88,15.729,47.8
2026-02-05T16:56:44.920718,31.1,94.8,14.905,15.729,47.8
2026-02-05T16:56:46.122406,17.3,94.8,14.904,15.729,47.8
2026-02-05T16:56:47.324892,22.1,94.6,14.886,15.729,47.8
2026-02-05T16:56:48.526974,39.0,94.9,14.925,15.729,47.8
2026-02-05T16:56:49.729262,25.0,95.0,14.94,15.729,47.8
2026-02-05T16:56:50.932451,45.3,95.1,14.963,15.729,47.8
2026-02-05T16:56:52.134487,38.2,95.0,14.935,15.729,47.8
2026-02-05T16:56:53.336944,30.9,95.0,14.941,15.729,47.8
2026-02-05T16:56:54.539323,48.5,94.9,14.926,15.729,47.8
2026-02-05T16:56:55.741457,29.6,94.9,14.934,15.729,47.8
2026-02-05T16:56:56.944558,30.9,94.9,14.93,15.729,47.8
2026-02-05T16:56:58.147258,36.5,94.9,14.928,15.729,47.8
2026-02-05T16:56:59.349756,41.0,94.9,14.925,15.729,47.8
2026-02-05T16:57:00.551620,43.8,95.0,14.938,15.729,47.8
2026-02-05T16:57:01.754003,44.3,95.0,14.946,15.729,47.8
2026-02-05T16:57:02.956388,54.3,95.0,14.943,15.729,47.8
2026-02-05T16:57:04.158827,40.6,94.9,14.93,15.729,47.8
