ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T17:02:16.919568,41.0,91.7,14.423,15.729,47.8
2026-02-05T17:02:18.123661,66.4,91.8,14.443,15.729,47.8
2026-02-05T17:02:19.326146,58.9,91.8,14.438,15.729,47.8
2026-02-05T17:02:20.529223,62.9,91.8,14.44,15.729,47.8
2026-02-05T17:02:21.732209,71.3,91.6,14.401,15.729,47.8
2026-02-05T17:02:22.935331,49.5,91.6,14.415,15.729,47.8
2026-02-05T17:02:24.138404,68.3,91.8,14.435,15.729,47.8
2026-02-05T17:02:25.342246,51.9,92.2,14.51,15.729,47.8
2026-02-05T17:02:26.544417,52.8,92.2,14.508,15.729,47.8
2026-02-05T17:02:27.746621,33.0,92.2,14.509,15.729,47.8
2026-02-05T17:02:28.948844,36.2,92.2,14.5,15.729,47.8
2026-02-05T17:02:30.151349,40.0,92.0,14.475,15.729,47.8
2026-02-05T17:02:31.353551,28.8,92.0,14.473,15.729,47.8
2026-02-05T17:02:32.555710,46.4,92.0,14.468,15.729,47.8
2026-02-05T17:02:33.757576,37.1,92.0,14.475,15.729,47.8
2026-02-05T17:02:34.959836,55.8,91.9,14.45,15.729,47.8
2026-02-05T17:02:36.162666,44.8,91.9,14.45,15.729,47.8
2026-02-05T17:02:37.364911,67.6,91.8,14.446,15.729,47.8
2026-02-05T17:02:38.567323,66.3,91.8,14.44,15.729,47.8
2026-02-05T17:02:39.769695,43.5,91.8,14.439,15.729,47.8
2026-02-05T17:02:40.972340,37.5,91.7,14.431,15.729,47.8
2026-02-05T17:02:42.174574,41.1,91.8,14.436,15.729,47.8
2026-02-05T17:02:43.377120,36.2,91.7,14.431,15.729,47.8
2026-02-05T17:02:44.579912,33.3,91.8,14.445,15.729,47.8
2026-02-05T17:02:45.783692,39.8,91.8,14.436,15.729,47.8
2026-02-05T17:02:46.986032,38.5,91.6,14.406,15.729,47.8
2026-02-05T17:02:48.188378,68.6,91.6,14.415,15.729,47.8
2026-02-05T17:02:49.390814,53.3,91.6,14.413,15.729,47.8
2026-02-05T17:02:50.594186,78.8,91.7,14.417,15.729,47.8
2026-02-05T17:02:51.797468,63.2,91.7,14.417,15.729,47.8
2026-02-05T17:02:52.999556,67.3,91.7,14.423,15.729,47.8
2026-02-05T17:02:54.201986,61.5,91.8,14.434,15.729,47.8
2026-02-05T17:02:55.405694,43.0,91.7,14.429,15.729,47.8
2026-02-05T17:02:56.608829,41.9,91.8,14.432,15.729,47.8
2026-02-05T17:02:57.812343,39.6,91.7,14.431,15.729,47.8
2026-02-05T17:02:59.014845,39.4,91.8,14.439,15.729,47.8
2026-02-05T17:03:00.217245,25.0,91.8,14.441,15.729,47.8
2026-02-05T17:03:01.419885,25.0,91.8,14.443,15.729,47.8
2026-02-05T17:03:02.621984,40.4,91.8,14.442,15.729,47.8
2026-02-05T17:03:03.824240,25.0,91.9,14.45,15.729,47.8
2026-02-05T17:03:05.026442,25.0,91.9,14.452,15.729,47.8
2026-02-05T17:03:06.229074,31.4,91.8,14.444,15.729,47.8
2026-02-05T17:03:07.430943,53.1,91.8,14.438,15.729,47.8
2026-02-05T17:03:08.633113,49.0,91.9,14.452,15.729,47.8
2026-02-05T17:03:09.835660,52.1,91.9,14.459,15.729,47.8
2026-02-05T17:03:11.037839,61.0,92.0,14.463,15.729,47.8
2026-02-05T17:03:12.240367,57.7,91.9,14.457,15.729,47.8
2026-02-05T17:03:13.442468,33.7,91.9,14.458,15.729,47.8
2026-02-05T17:03:14.645685,60.2,92.0,14.464,15.729,47.8
2026-02-05T17:03:15.848005,37.1,91.9,14.455,15.729,47.8
