ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T17:24:33.517483,94.3,85.4,13.436,15.729,47.8
2026-02-05T17:24:34.720788,70.8,85.8,13.5,15.729,47.8
2026-02-05T17:24:35.924266,59.6,85.7,13.483,15.729,47.8
2026-02-05T17:24:37.133399,92.5,85.8,13.495,15.729,47.8
2026-02-05T17:24:38.335850,74.5,85.7,13.485,15.729,47.8
2026-02-05T17:24:39.540830,97.0,85.8,13.502,15.729,47.8
2026-02-05T17:24:40.743281,64.9,85.8,13.49,15.729,47.8
2026-02-05T17:24:41.946335,76.5,85.7,13.481,15.729,47.8
2026-02-05T17:24:43.149227,48.5,85.7,13.48,15.729,47.8
2026-02-05T17:24:44.352359,52.6,85.7,13.488,15.729,47.8
2026-02-05T17:24:45.555063,37.4,85.5,13.454,15.729,47.8
2026-02-05T17:24:46.757966,51.0,85.5,13.449,15.729,47.8
2026-02-05T17:24:47.961158,68.0,85.4,13.438,15.729,47.8
2026-02-05T17:24:49.164093,22.7,85.4,13.43,15.729,47.8
2026-02-05T17:24:50.366106,40.6,85.4,13.435,15.729,47.8
2026-02-05T17:24:51.568811,42.2,85.5,13.448,15.729,47.8
2026-02-05T17:24:52.770932,30.8,85.4,13.437,15.729,47.8
2026-02-05T17:24:53.974032,39.0,85.2,13.403,15.729,47.8
2026-02-05T17:24:55.176435,38.7,85.2,13.398,15.729,47.8
2026-02-05T17:24:56.378614,50.9,85.2,13.396,15.729,47.8
2026-02-05T17:24:57.581403,36.2,85.2,13.396,15.729,47.8
2026-02-05T17:24:58.784857,49.5,85.0,13.375,15.729,47.8
2026-02-05T17:24:59.987368,32.4,85.1,13.386,15.729,47.8
2026-02-05T17:25:01.190093,55.6,85.1,13.388,15.729,47.8
2026-02-05T17:25:02.391989,34.3,85.1,13.379,15.729,47.8
2026-02-05T17:25:03.594554,39.6,85.0,13.364,15.729,47.8
2026-02-05T17:25:04.797005,41.3,85.0,13.364,15.729,47.8
2026-02-05T17:25:05.999690,37.7,85.0,13.369,15.729,47.8
2026-02-05T17:25:07.203014,65.7,85.0,13.37,15.729,47.8
2026-02-05T17:25:08.406386,35.2,85.1,13.38,15.729,47.8
2026-02-05T17:25:09.609242,59.0,85.1,13.386,15.729,47.8
2026-02-05T17:25:10.812204,55.1,85.1,13.386,15.729,47.8
2026-02-05T17:25:12.014393,57.1,85.1,13.387,15.729,47.8
2026-02-05T17:25:13.217162,55.2,85.1,13.389,15.729,47.8
2026-02-05T17:25:14.419825,74.5,85.1,13.378,15.729,47.8
2026-02-05T17:25:15.623498,78.1,85.1,13.382,15.729,47.8
2026-02-05T17:25:16.826052,87.7,84.9,13.347,15.729,47.8
2026-02-05T17:25:18.029584,97.4,84.8,13.343,15.729,47.8
2026-02-05T17:25:19.232982,76.4,84.8,13.341,15.729,47.8
2026-02-05T17:25:20.435825,78.3,84.8,13.344,15.729,47.8
2026-02-05T17:25:21.640667,52.8,84.9,13.347,15.729,47.8
2026-02-05T17:25:22.845562,68.5,84.8,13.332,15.729,47.8
2026-02-05T17:25:24.050741,41.3,84.7,13.33,15.729,47.8
2026-02-05T17:25:25.253670,56.9,84.8,13.334,15.729,47.8
2026-02-05T17:25:26.456313,29.5,84.7,13.326,15.729,47.8
2026-02-05T17:25:27.659175,33.6,84.8,13.334,15.729,47.8
2026-02-05T17:25:28.861538,42.9,84.8,13.338,15.729,47.8
2026-02-05T17:25:30.064277,61.3,84.7,13.328,15.729,47.8
2026-02-05T17:25:31.266304,42.9,84.8,13.342,15.729,47.8
2026-02-05T17:25:32.468763,42.9,84.8,13.344,15.729,47.8
