ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T17:31:24.667211,97.2,84.9,13.351,15.729,47.8
2026-02-05T17:31:25.892436,84.2,85.3,13.414,15.729,47.8
2026-02-05T17:31:27.104536,78.3,85.3,13.414,15.729,47.8
2026-02-05T17:31:28.309728,61.5,85.9,13.504,15.729,47.8
2026-02-05T17:31:29.512970,56.7,84.9,13.353,15.729,47.8
2026-02-05T17:31:30.716004,47.8,84.8,13.331,15.729,47.8
2026-02-05T17:31:31.918695,51.9,84.8,13.34,15.729,47.8
2026-02-05T17:31:33.121193,39.4,84.8,13.332,15.729,47.8
2026-02-05T17:31:34.323436,50.9,84.7,13.316,15.729,47.8
2026-02-05T17:31:35.525726,45.8,84.6,13.311,15.729,47.8
2026-02-05T17:31:36.727949,36.3,84.6,13.301,15.729,47.8
2026-02-05T17:31:37.930628,71.4,84.5,13.294,15.729,47.8
2026-02-05T17:31:39.133519,51.0,84.5,13.29,15.729,47.8
2026-02-05T17:31:40.335970,38.8,84.3,13.265,15.729,47.8
2026-02-05T17:31:41.538545,55.7,84.3,13.266,15.729,47.8
2026-02-05T17:31:42.740918,38.3,84.3,13.264,15.729,47.8
2026-02-05T17:31:43.943417,48.6,84.3,13.264,15.729,47.8
2026-02-05T17:31:45.146602,26.9,84.3,13.264,15.729,47.8
2026-02-05T17:31:46.349822,57.7,84.3,13.256,15.729,47.8
2026-02-05T17:31:47.552336,31.4,84.3,13.257,15.729,47.8
2026-02-05T17:31:48.754906,51.9,84.3,13.253,15.729,47.8
2026-02-05T17:31:49.957057,51.9,84.3,13.26,15.729,47.8
2026-02-05T17:31:51.159264,41.5,84.2,13.246,15.729,47.8
2026-02-05T17:31:52.361728,72.4,84.2,13.246,15.729,47.8
2026-02-05T17:31:53.568327,54.7,84.2,13.251,15.729,47.8
2026-02-05T17:31:54.771986,77.1,84.2,13.239,15.729,47.8
2026-02-05T17:31:55.975100,67.9,84.2,13.24,15.729,47.8
2026-02-05T17:31:57.178189,66.7,84.2,13.241,15.729,47.8
2026-02-05T17:31:58.382121,67.9,84.2,13.238,15.729,47.8
2026-02-05T17:31:59.585042,74.3,84.2,13.246,15.729,47.8
2026-02-05T17:32:00.787607,58.1,84.2,13.244,15.729,47.8
2026-02-05T17:32:01.995024,81.7,84.2,13.237,15.729,47.8
2026-02-05T17:32:03.203661,60.0,84.3,13.256,15.729,47.8
2026-02-05T17:32:04.406383,44.0,84.3,13.252,15.729,47.8
2026-02-05T17:32:05.609604,61.0,84.2,13.249,15.729,47.8
2026-02-05T17:32:06.811981,40.6,84.2,13.244,15.729,47.8
2026-02-05T17:32:08.015503,50.5,84.2,13.246,15.729,47.8
2026-02-05T17:32:09.217957,51.0,84.2,13.238,15.729,47.8
2026-02-05T17:32:10.420463,32.1,84.2,13.25,15.729,47.8
2026-02-05T17:32:11.622852,45.7,84.3,13.253,15.729,47.8
2026-02-05T17:32:12.825279,34.6,84.3,13.252,15.729,47.8
2026-02-05T17:32:14.028179,67.0,84.2,13.249,15.729,47.8
2026-02-05T17:32:15.230777,40.7,84.3,13.256,15.729,47.8
2026-02-05T17:32:16.433009,45.7,84.2,13.25,15.729,47.8
2026-02-05T17:32:17.635296,48.1,84.2,13.239,15.729,47.8
2026-02-05T17:32:18.837306,46.4,84.1,13.235,15.729,47.8
2026-02-05T17:32:20.040029,55.2,84.2,13.238,15.729,47.8
2026-02-05T17:32:21.242469,42.9,84.1,13.231,15.729,47.8
2026-02-05T17:32:22.444059,43.6,84.1,13.236,15.729,47.8
2026-02-05T17:32:23.645977,36.1,84.1,13.235,15.729,47.8
