ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T17:33:53.493543,70.8,83.5,13.127,15.729,47.8
2026-02-05T17:33:54.697065,68.0,83.7,13.169,15.729,47.8
2026-02-05T17:33:55.899367,50.0,83.8,13.184,15.729,47.8
2026-02-05T17:33:57.103802,72.9,83.8,13.183,15.729,47.8
2026-02-05T17:33:58.306324,41.8,83.7,13.161,15.729,47.8
2026-02-05T17:33:59.508544,58.6,83.7,13.164,15.729,47.8
2026-02-05T17:34:00.713110,79.6,83.7,13.168,15.729,47.8
2026-02-05T17:34:01.921573,66.3,83.7,13.173,15.729,47.8
2026-02-05T17:34:03.128973,79.1,84.1,13.223,15.729,47.8
2026-02-05T17:34:04.332064,66.3,84.0,13.217,15.729,47.8
2026-02-05T17:34:05.535937,89.0,84.0,13.208,15.729,47.8
2026-02-05T17:34:06.752087,93.9,84.0,13.21,15.729,47.8
2026-02-05T17:34:07.978006,90.7,84.0,13.207,15.729,47.8
2026-02-05T17:34:09.193585,74.8,83.9,13.203,15.729,47.8
2026-02-05T17:34:10.508873,84.8,83.9,13.192,15.729,47.8
2026-02-05T17:34:11.712251,50.0,84.0,13.21,15.729,47.8
2026-02-05T17:34:12.915134,36.1,83.9,13.204,15.729,47.8
2026-02-05T17:34:14.117791,64.9,83.9,13.193,15.729,47.8
2026-02-05T17:34:15.320414,37.4,83.8,13.185,15.729,47.8
2026-02-05T17:34:16.523128,58.9,83.8,13.18,15.729,47.8
2026-02-05T17:34:17.725482,41.5,83.8,13.182,15.729,47.8
2026-02-05T17:34:18.927929,40.2,83.8,13.176,15.729,47.8
2026-02-05T17:34:20.130101,60.6,83.8,13.187,15.729,47.8
2026-02-05T17:34:21.332357,53.8,83.8,13.182,15.729,47.8
2026-02-05T17:34:22.534717,36.2,83.8,13.188,15.729,47.8
2026-02-05T17:34:23.737550,50.5,83.7,13.168,15.729,47.8
2026-02-05T17:34:24.940023,47.2,83.6,13.155,15.729,47.8
2026-02-05T17:34:26.142854,68.2,83.7,13.16,15.729,47.8
2026-02-05T17:34:27.344953,56.5,83.6,13.153,15.729,47.8
2026-02-05T17:34:28.547575,50.9,83.6,13.149,15.729,47.8
2026-02-05T17:34:29.750352,44.9,83.6,13.148,15.729,47.8
2026-02-05T17:34:30.953090,51.4,83.6,13.151,15.729,47.8
2026-02-05T17:34:32.163475,79.4,83.6,13.144,15.729,47.8
2026-02-05T17:34:33.366687,89.4,83.6,13.146,15.729,47.8
2026-02-05T17:34:34.577791,98.1,83.6,13.146,15.729,47.8
2026-02-05T17:34:35.790636,82.5,83.6,13.143,15.729,47.8
2026-02-05T17:34:36.998049,76.9,83.6,13.142,15.729,47.8
2026-02-05T17:34:38.202230,72.0,83.5,13.137,15.729,47.8
2026-02-05T17:34:39.405664,52.4,83.5,13.138,15.729,47.8
2026-02-05T17:34:40.609182,50.0,83.5,13.14,15.729,47.8
2026-02-05T17:34:41.813009,57.1,83.5,13.136,15.729,47.8
2026-02-05T17:34:43.015525,46.7,83.5,13.135,15.729,47.8
2026-02-05T17:34:44.218509,40.0,83.5,13.133,15.729,47.8
2026-02-05T17:34:45.421273,49.5,83.5,13.133,15.729,47.8
2026-02-05T17:34:46.623744,47.7,83.5,13.134,15.729,47.8
2026-02-05T17:34:47.827146,40.6,83.5,13.133,15.729,47.8
2026-02-05T17:34:49.029851,32.4,83.4,13.124,15.729,47.8
2026-02-05T17:34:50.232764,38.1,83.4,13.125,15.729,47.8
2026-02-05T17:34:51.434902,63.9,83.5,13.128,15.729,47.8
2026-02-05T17:34:52.636844,40.6,83.5,13.131,15.729,47.8
