ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T17:46:34.884652,95.5,84.1,13.23,15.729,47.8
2026-02-05T17:46:36.093272,90.7,84.4,13.279,15.729,47.8
2026-02-05T17:46:37.318854,100.0,84.4,13.274,15.729,47.8
2026-02-05T17:46:38.576701,100.0,84.6,13.306,15.729,47.8
2026-02-05T17:46:39.885026,100.0,85.1,13.383,15.729,47.8
2026-02-05T17:46:41.092103,92.3,85.1,13.381,15.729,47.8
2026-02-05T17:46:42.300079,65.1,85.0,13.372,15.729,47.8
2026-02-05T17:46:43.507078,97.3,84.9,13.362,15.729,47.8
2026-02-05T17:46:44.714443,90.8,85.0,13.368,15.729,47.8
2026-02-05T17:46:45.918474,77.6,84.6,13.314,15.729,47.8
2026-02-05T17:46:47.145641,87.8,84.5,13.294,15.729,47.8
2026-02-05T17:46:48.366859,98.2,84.5,13.286,15.729,47.8
2026-02-05T17:46:49.572795,84.3,84.4,13.28,15.729,47.8
2026-02-05T17:46:50.776021,74.5,84.4,13.279,15.729,47.8
2026-02-05T17:46:51.983574,85.0,84.3,13.265,15.729,47.8
2026-02-05T17:46:53.186826,57.5,84.3,13.258,15.729,47.8
2026-02-05T17:46:54.391503,73.6,84.3,13.261,15.729,47.8
2026-02-05T17:46:55.595593,91.7,84.4,13.272,15.729,47.8
2026-02-05T17:46:56.800615,80.4,84.3,13.263,15.729,47.8
2026-02-05T17:46:58.004897,93.4,84.3,13.255,15.729,47.8
2026-02-05T17:46:59.214641,84.2,84.3,13.257,15.729,47.8
2026-02-05T17:47:00.419414,60.4,84.3,13.261,15.729,47.8
2026-02-05T17:47:01.623961,70.1,84.4,13.278,15.729,47.8
2026-02-05T17:47:02.827507,59.0,84.4,13.272,15.729,47.8
2026-02-05T17:47:04.031217,52.8,84.3,13.255,15.729,47.8
2026-02-05T17:47:05.236744,82.1,84.3,13.254,15.729,47.8
2026-02-05T17:47:06.441885,81.1,84.3,13.253,15.729,47.8
2026-02-05T17:47:07.663096,100.0,84.3,13.265,15.729,47.8
2026-02-05T17:47:08.869053,92.2,84.3,13.256,15.729,47.8
2026-02-05T17:47:10.080220,85.2,84.2,13.252,15.729,47.8
2026-02-05T17:47:11.283531,56.2,84.3,13.253,15.729,47.8
2026-02-05T17:47:12.486372,50.9,84.2,13.252,15.729,47.8
2026-02-05T17:47:13.689446,68.5,84.3,13.265,15.729,47.8
2026-02-05T17:47:14.894117,71.8,84.3,13.259,15.729,47.8
2026-02-05T17:47:16.097267,84.5,84.3,13.255,15.729,47.8
2026-02-05T17:47:17.306349,64.4,84.2,13.246,15.729,47.8
2026-02-05T17:47:18.521023,95.4,84.2,13.248,15.729,47.8
2026-02-05T17:47:19.729651,94.4,84.3,13.26,15.729,47.8
2026-02-05T17:47:20.933419,83.0,84.3,13.257,15.729,47.8
2026-02-05T17:47:22.138119,55.7,84.3,13.255,15.729,47.8
2026-02-05T17:47:23.341368,74.1,84.3,13.253,15.729,47.8
2026-02-05T17:47:24.547826,74.8,84.3,13.253,15.729,47.8
2026-02-05T17:47:25.753149,97.2,84.3,13.258,15.729,47.8
2026-02-05T17:47:26.965723,95.4,84.3,13.259,15.729,47.8
2026-02-05T17:47:28.170749,63.6,84.3,13.255,15.729,47.8
2026-02-05T17:47:29.374500,90.8,84.2,13.251,15.729,47.8
2026-02-05T17:47:30.581433,96.3,84.3,13.258,15.729,47.8
2026-02-05T17:47:31.785564,62.3,84.3,13.252,15.729,47.8
2026-02-05T17:47:32.988734,62.4,84.2,13.249,15.729,47.8
2026-02-05T17:47:34.192288,76.9,84.2,13.247,15.729,47.8
