ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T17:49:05.746879,100.0,83.5,13.127,15.729,47.8
2026-02-05T17:49:06.958125,86.7,83.8,13.176,15.729,47.8
2026-02-05T17:49:08.393642,100.0,83.8,13.187,15.729,47.8
2026-02-05T17:49:09.721468,100.0,84.1,13.232,15.729,47.8
2026-02-05T17:49:10.945269,100.0,84.2,13.244,15.729,47.8
2026-02-05T17:49:12.150776,71.4,84.2,13.238,15.729,47.8
2026-02-05T17:49:13.353701,77.8,84.1,13.236,15.729,47.8
2026-02-05T17:49:14.558858,72.4,84.0,13.22,15.729,47.8
2026-02-05T17:49:15.778325,87.9,84.1,13.226,15.729,47.8
2026-02-05T17:49:16.987332,89.8,84.0,13.218,15.729,47.8
2026-02-05T17:49:18.193388,95.3,84.0,13.213,15.729,47.8
2026-02-05T17:49:19.397260,54.6,84.0,13.208,15.729,47.8
2026-02-05T17:49:20.602084,64.7,83.9,13.201,15.729,47.8
2026-02-05T17:49:21.809959,100.0,83.8,13.184,15.729,47.8
2026-02-05T17:49:23.016570,99.0,83.8,13.177,15.729,47.8
2026-02-05T17:49:24.225793,97.2,83.8,13.185,15.729,47.8
2026-02-05T17:49:25.441672,90.5,83.8,13.181,15.729,47.8
2026-02-05T17:49:26.653687,100.0,83.8,13.18,15.729,47.8
2026-02-05T17:49:27.858519,83.6,83.8,13.178,15.729,47.8
2026-02-05T17:49:29.063167,58.3,83.8,13.18,15.729,47.8
2026-02-05T17:49:30.266836,70.1,83.8,13.184,15.729,47.8
2026-02-05T17:49:31.470743,69.8,83.8,13.183,15.729,47.8
2026-02-05T17:49:32.675099,73.6,83.8,13.187,15.729,47.8
2026-02-05T17:49:33.879876,87.6,83.8,13.183,15.729,47.8
2026-02-05T17:49:35.085841,72.5,83.8,13.188,15.729,47.8
2026-02-05T17:49:36.289823,52.0,83.8,13.18,15.729,47.8
2026-02-05T17:49:37.492359,44.9,83.7,13.17,15.729,47.8
2026-02-05T17:49:38.696935,71.3,83.8,13.175,15.729,47.8
2026-02-05T17:49:39.901273,53.8,83.7,13.171,15.729,47.8
2026-02-05T17:49:41.107531,71.7,83.8,13.174,15.729,47.8
2026-02-05T17:49:42.311535,95.3,83.7,13.166,15.729,47.8
2026-02-05T17:49:43.515173,78.9,83.7,13.17,15.729,47.8
2026-02-05T17:49:44.742288,96.6,83.7,13.161,15.729,47.8
2026-02-05T17:49:45.950696,92.6,83.7,13.171,15.729,47.8
2026-02-05T17:49:47.161876,55.7,83.7,13.166,15.729,47.8
2026-02-05T17:49:48.370457,75.5,83.8,13.174,15.729,47.8
2026-02-05T17:49:49.576448,35.6,83.8,13.178,15.729,47.8
2026-02-05T17:49:50.780344,60.6,83.7,13.171,15.729,47.8
2026-02-05T17:49:51.984090,58.7,83.8,13.175,15.729,47.8
2026-02-05T17:49:53.196224,72.7,83.7,13.172,15.729,47.8
2026-02-05T17:49:54.399860,95.0,83.7,13.17,15.729,47.8
2026-02-05T17:49:55.635723,100.0,83.7,13.168,15.729,47.8
2026-02-05T17:49:56.846345,78.7,83.7,13.171,15.729,47.8
2026-02-05T17:49:58.051319,81.9,83.7,13.166,15.729,47.8
2026-02-05T17:49:59.256050,70.1,83.7,13.166,15.729,47.8
2026-02-05T17:50:00.459780,90.6,83.7,13.173,15.729,47.8
2026-02-05T17:50:01.662808,80.6,83.8,13.178,15.729,47.8
2026-02-05T17:50:02.864804,52.9,83.8,13.175,15.729,47.8
2026-02-05T17:50:04.070367,92.5,83.8,13.183,15.729,47.8
2026-02-05T17:50:05.277932,91.8,83.8,13.188,15.729,47.8
