ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T17:52:05.022963,88.9,83.8,13.174,15.729,47.8
2026-02-05T17:52:06.226960,86.2,83.9,13.196,15.729,47.8
2026-02-05T17:52:07.440091,39.6,83.8,13.182,15.729,47.8
2026-02-05T17:52:08.642958,50.5,83.7,13.169,15.729,47.8
2026-02-05T17:52:09.846576,56.1,83.7,13.171,15.729,47.8
2026-02-05T17:52:11.050246,63.2,83.7,13.172,15.729,47.8
2026-02-05T17:52:12.258213,91.6,83.8,13.186,15.729,47.8
2026-02-05T17:52:13.462793,63.8,84.2,13.237,15.729,47.8
2026-02-05T17:52:14.665332,47.9,84.2,13.243,15.729,47.8
2026-02-05T17:52:15.869179,68.7,84.2,13.236,15.729,47.8
2026-02-05T17:52:17.072678,62.9,84.0,13.218,15.729,47.8
2026-02-05T17:52:18.279634,90.9,84.0,13.219,15.729,47.8
2026-02-05T17:52:19.487317,95.4,83.9,13.203,15.729,47.8
2026-02-05T17:52:20.691979,79.8,83.9,13.204,15.729,47.8
2026-02-05T17:52:21.902723,70.1,84.0,13.206,15.729,47.8
2026-02-05T17:52:23.106838,70.8,84.0,13.209,15.729,47.8
2026-02-05T17:52:24.310017,56.6,83.9,13.202,15.729,47.8
2026-02-05T17:52:25.513808,67.6,83.8,13.182,15.729,47.8
2026-02-05T17:52:26.718451,72.9,83.8,13.186,15.729,47.8
2026-02-05T17:52:27.922032,75.7,83.8,13.181,15.729,47.8
2026-02-05T17:52:29.126922,95.2,83.8,13.174,15.729,47.8
2026-02-05T17:52:30.356508,96.5,83.7,13.17,15.729,47.8
2026-02-05T17:52:31.561149,70.1,83.7,13.167,15.729,47.8
2026-02-05T17:52:32.764585,77.1,83.7,13.165,15.729,47.8
2026-02-05T17:52:33.968689,43.4,83.7,13.166,15.729,47.8
2026-02-05T17:52:35.172191,50.5,83.5,13.142,15.729,47.8
2026-02-05T17:52:36.375280,71.7,83.6,13.147,15.729,47.8
2026-02-05T17:52:37.578354,51.9,83.6,13.152,15.729,47.8
2026-02-05T17:52:38.782318,77.6,83.6,13.148,15.729,47.8
2026-02-05T17:52:39.986712,61.5,83.6,13.148,15.729,47.8
2026-02-05T17:52:41.209982,99.1,83.6,13.146,15.729,47.8
2026-02-05T17:52:42.432405,99.1,83.5,13.138,15.729,47.8
2026-02-05T17:52:43.636036,67.6,83.6,13.146,15.729,47.8
2026-02-05T17:52:44.839364,44.9,83.5,13.141,15.729,47.8
2026-02-05T17:52:46.044706,72.9,83.6,13.143,15.729,47.8
2026-02-05T17:52:47.250152,64.2,83.6,13.143,15.729,47.8
2026-02-05T17:52:48.454266,81.5,83.5,13.139,15.729,47.8
2026-02-05T17:52:49.657522,73.4,83.6,13.144,15.729,47.8
2026-02-05T17:52:50.873545,97.4,83.6,13.143,15.729,47.8
2026-02-05T17:52:52.084004,94.3,83.5,13.14,15.729,47.8
2026-02-05T17:52:53.288325,81.7,83.6,13.145,15.729,47.8
2026-02-05T17:52:54.491811,72.9,83.6,13.143,15.729,47.8
2026-02-05T17:52:55.696950,44.6,83.6,13.148,15.729,47.8
2026-02-05T17:52:56.899631,46.9,83.6,13.146,15.729,47.8
2026-02-05T17:52:58.102615,72.0,83.6,13.147,15.729,47.8
2026-02-05T17:52:59.306879,63.9,83.6,13.148,15.729,47.8
2026-02-05T17:53:00.510706,65.5,83.6,13.156,15.729,47.8
2026-02-05T17:53:01.723836,81.1,83.6,13.146,15.729,47.8
2026-02-05T17:53:02.932870,57.5,83.6,13.151,15.729,47.8
2026-02-05T17:53:04.148095,100.0,83.6,13.153,15.729,47.8
