ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T18:20:26.825501,91.4,88.4,13.907,15.729,47.8
2026-02-05T18:20:28.038189,76.6,88.5,13.927,15.729,47.8
2026-02-05T18:20:29.243414,69.1,88.6,13.929,15.729,47.8
2026-02-05T18:20:30.461821,85.6,88.7,13.956,15.729,47.8
2026-02-05T18:20:31.742672,100.0,89.2,14.029,15.729,47.8
2026-02-05T18:20:32.950022,72.3,89.2,14.034,15.729,47.8
2026-02-05T18:20:34.156088,66.7,89.1,14.022,15.729,47.8
2026-02-05T18:20:35.358683,43.8,89.1,14.018,15.729,47.8
2026-02-05T18:20:36.561165,21.0,89.1,14.022,15.729,47.8
2026-02-05T18:20:37.766781,60.6,89.2,14.038,15.729,47.8
2026-02-05T18:20:38.990381,100.0,89.2,14.027,15.729,47.8
2026-02-05T18:20:40.200305,62.6,89.1,14.018,15.729,47.8
2026-02-05T18:20:41.405892,79.1,89.0,14.002,15.729,47.8
2026-02-05T18:20:42.613375,97.2,89.0,13.995,15.729,47.8
2026-02-05T18:20:43.826425,99.1,88.9,13.991,15.729,47.8
2026-02-05T18:20:45.038866,91.8,88.9,13.987,15.729,47.8
2026-02-05T18:20:46.242802,75.7,88.9,13.976,15.729,47.8
2026-02-05T18:20:47.448462,96.0,88.8,13.969,15.729,47.8
2026-02-05T18:20:48.659544,91.9,88.8,13.973,15.729,47.8
2026-02-05T18:20:49.867545,84.1,88.8,13.974,15.729,47.8
2026-02-05T18:20:51.084784,100.0,88.9,13.976,15.729,47.8
2026-02-05T18:20:52.322764,97.2,88.8,13.962,15.729,47.8
2026-02-05T18:20:53.534709,50.0,88.8,13.971,15.729,47.8
2026-02-05T18:20:54.740277,78.3,88.7,13.956,15.729,47.8
2026-02-05T18:20:55.956920,100.0,88.7,13.955,15.729,47.8
2026-02-05T18:20:57.173635,100.0,88.7,13.953,15.729,47.8
2026-02-05T18:20:58.383422,85.5,88.7,13.944,15.729,47.8
2026-02-05T18:20:59.586779,80.2,88.7,13.946,15.729,47.8
2026-02-05T18:21:00.791402,82.5,88.7,13.947,15.729,47.8
2026-02-05T18:21:02.011154,89.1,88.7,13.947,15.729,47.8
2026-02-05T18:21:03.220331,89.9,88.7,13.953,15.729,47.8
2026-02-05T18:21:04.424070,94.5,88.7,13.952,15.729,47.8
2026-02-05T18:21:05.629087,82.1,88.7,13.955,15.729,47.8
2026-02-05T18:21:06.834175,71.0,88.7,13.957,15.729,47.8
2026-02-05T18:21:08.040778,100.0,88.7,13.958,15.729,47.8
2026-02-05T18:21:09.253942,100.0,88.7,13.951,15.729,47.8
2026-02-05T18:21:10.464294,75.9,88.7,13.948,15.729,47.8
2026-02-05T18:21:11.669140,63.9,88.7,13.952,15.729,47.8
2026-02-05T18:21:12.873045,52.4,88.7,13.949,15.729,47.8
2026-02-05T18:21:14.076535,71.6,88.7,13.949,15.729,47.8
2026-02-05T18:21:15.288262,95.3,88.7,13.947,15.729,47.8
2026-02-05T18:21:16.501309,98.2,88.8,13.96,15.729,47.8
2026-02-05T18:21:17.774527,96.8,88.8,13.961,15.729,47.8
2026-02-05T18:21:19.031015,69.2,88.9,13.979,15.729,47.8
2026-02-05T18:21:20.241583,100.0,88.9,13.984,15.729,47.8
2026-02-05T18:21:21.465317,96.6,89.0,14.001,15.729,47.8
2026-02-05T18:21:22.670725,84.4,89.0,14.0,15.729,47.8
2026-02-05T18:21:23.876329,72.0,89.0,13.998,15.729,47.8
2026-02-05T18:21:25.085765,82.5,89.0,13.994,15.729,47.8
2026-02-05T18:21:26.292604,86.0,89.0,13.998,15.729,47.8
