ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T18:44:59.376871,75.5,84.2,13.25,15.729,47.8
2026-02-05T18:45:00.580938,73.6,84.6,13.304,15.729,47.8
2026-02-05T18:45:01.786408,84.3,84.4,13.281,15.729,47.8
2026-02-05T18:45:02.988833,87.7,84.2,13.25,15.729,47.8
2026-02-05T18:45:04.191195,79.2,84.0,13.212,15.729,47.8
2026-02-05T18:45:05.394927,89.7,84.6,13.312,15.729,47.8
2026-02-05T18:45:06.598680,43.4,84.5,13.296,15.729,47.8
2026-02-05T18:45:07.801228,33.0,84.6,13.299,15.729,47.8
2026-02-05T18:45:09.004057,54.5,84.6,13.312,15.729,47.8
2026-02-05T18:45:10.206418,57.9,84.6,13.301,15.729,47.8
2026-02-05T18:45:11.409011,60.0,84.5,13.286,15.729,47.8
2026-02-05T18:45:12.611786,59.8,84.6,13.304,15.729,47.8
2026-02-05T18:45:13.816143,48.1,84.6,13.299,15.729,47.8
2026-02-05T18:45:15.018984,62.6,84.6,13.304,15.729,47.8
2026-02-05T18:45:16.221129,37.1,84.5,13.296,15.729,47.8
2026-02-05T18:45:17.423453,36.2,84.4,13.282,15.729,47.8
2026-02-05T18:45:18.625433,38.1,84.4,13.276,15.729,47.8
2026-02-05T18:45:19.828091,64.9,84.4,13.274,15.729,47.8
2026-02-05T18:45:21.038125,89.6,84.5,13.284,15.729,47.8
2026-02-05T18:45:22.241993,95.3,84.4,13.28,15.729,47.8
2026-02-05T18:45:23.445389,79.2,84.4,13.281,15.729,47.8
2026-02-05T18:45:24.649383,68.4,84.4,13.282,15.729,47.8
2026-02-05T18:45:25.854398,58.7,84.4,13.276,15.729,47.8
2026-02-05T18:45:27.056710,61.0,84.5,13.292,15.729,47.8
2026-02-05T18:45:28.259947,60.2,84.5,13.29,15.729,47.8
2026-02-05T18:45:29.462659,38.1,84.4,13.283,15.729,47.8
2026-02-05T18:45:30.665126,36.1,84.4,13.28,15.729,47.8
2026-02-05T18:45:31.868353,52.4,84.4,13.279,15.729,47.8
2026-02-05T18:45:33.070860,68.9,84.4,13.276,15.729,47.8
2026-02-05T18:45:34.274567,80.4,84.4,13.274,15.729,47.8
2026-02-05T18:45:35.476820,42.3,84.4,13.276,15.729,47.8
2026-02-05T18:45:36.682599,72.9,84.4,13.277,15.729,47.8
2026-02-05T18:45:37.887824,64.2,84.4,13.277,15.729,47.8
2026-02-05T18:45:39.090717,94.5,84.4,13.275,15.729,47.8
2026-02-05T18:45:40.293790,93.3,84.4,13.268,15.729,47.8
2026-02-05T18:45:41.497593,75.9,84.4,13.269,15.729,47.8
2026-02-05T18:45:42.701353,61.5,84.4,13.279,15.729,47.8
2026-02-05T18:45:43.904035,32.7,84.4,13.278,15.729,47.8
2026-02-05T18:45:45.106385,54.2,84.4,13.269,15.729,47.8
2026-02-05T18:45:46.308939,57.4,84.3,13.259,15.729,47.8
2026-02-05T18:45:47.511579,54.3,84.2,13.246,15.729,47.8
2026-02-05T18:45:48.714797,29.8,84.3,13.253,15.729,47.8
2026-02-05T18:45:49.917555,44.9,84.2,13.25,15.729,47.8
2026-02-05T18:45:51.120555,39.6,84.3,13.254,15.729,47.8
2026-02-05T18:45:52.323064,65.7,84.2,13.25,15.729,47.8
2026-02-05T18:45:53.525752,50.9,84.4,13.275,15.729,47.8
2026-02-05T18:45:54.733686,85.7,84.4,13.268,15.729,47.8
2026-02-05T18:45:55.939860,89.8,84.4,13.277,15.729,47.8
2026-02-05T18:45:57.145393,83.6,84.4,13.272,15.729,47.8
2026-02-05T18:45:58.350551,86.8,84.4,13.274,15.729,47.8
