ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T19:03:55.803561,97.2,85.4,13.425,15.729,47.8
2026-02-05T19:03:57.007356,63.0,85.7,13.473,15.729,47.8
2026-02-05T19:03:58.211700,71.4,85.7,13.483,15.729,47.8
2026-02-05T19:03:59.414481,46.0,85.8,13.489,15.729,47.8
2026-02-05T19:04:00.617948,85.4,86.4,13.597,15.729,47.8
2026-02-05T19:04:01.824250,79.4,86.4,13.591,15.729,47.8
2026-02-05T19:04:03.028382,91.7,86.4,13.592,15.729,47.8
2026-02-05T19:04:04.236114,77.8,86.4,13.59,15.729,47.8
2026-02-05T19:04:05.444287,96.3,86.3,13.579,15.729,47.8
2026-02-05T19:04:06.647140,54.6,86.0,13.531,15.729,47.8
2026-02-05T19:04:07.850378,63.5,85.8,13.5,15.729,47.8
2026-02-05T19:04:09.054721,70.0,85.8,13.5,15.729,47.8
2026-02-05T19:04:10.257212,77.5,85.8,13.496,15.729,47.8
2026-02-05T19:04:11.460243,67.3,85.8,13.495,15.729,47.8
2026-02-05T19:04:12.663770,63.4,85.7,13.486,15.729,47.8
2026-02-05T19:04:13.867920,50.5,85.7,13.486,15.729,47.8
2026-02-05T19:04:15.074496,92.7,85.7,13.482,15.729,47.8
2026-02-05T19:04:16.280673,96.4,85.7,13.485,15.729,47.8
2026-02-05T19:04:17.486873,80.6,85.7,13.482,15.729,47.8
2026-02-05T19:04:18.694067,77.1,85.7,13.48,15.729,47.8
2026-02-05T19:04:19.897826,45.2,85.6,13.472,15.729,47.8
2026-02-05T19:04:21.101976,60.7,85.7,13.484,15.729,47.8
2026-02-05T19:04:22.305421,44.9,85.7,13.481,15.729,47.8
2026-02-05T19:04:23.508019,45.1,85.7,13.486,15.729,47.8
2026-02-05T19:04:24.710623,43.4,85.8,13.49,15.729,47.8
2026-02-05T19:04:25.913233,65.4,85.7,13.482,15.729,47.8
2026-02-05T19:04:27.119678,76.4,85.6,13.469,15.729,47.8
2026-02-05T19:04:28.329891,78.5,85.7,13.473,15.729,47.8
2026-02-05T19:04:29.533925,95.3,85.7,13.474,15.729,47.8
2026-02-05T19:04:30.745818,85.5,85.6,13.471,15.729,47.8
2026-02-05T19:04:31.953779,49.5,85.6,13.468,15.729,47.8
2026-02-05T19:04:33.158926,66.0,85.6,13.47,15.729,47.8
2026-02-05T19:04:34.362090,66.7,85.6,13.47,15.729,47.8
2026-02-05T19:04:35.567843,65.7,85.7,13.479,15.729,47.8
2026-02-05T19:04:36.770713,68.9,85.7,13.48,15.729,47.8
2026-02-05T19:04:37.973990,64.2,85.6,13.471,15.729,47.8
2026-02-05T19:04:39.181528,62.6,85.7,13.481,15.729,47.8
2026-02-05T19:04:40.396758,75.2,85.7,13.484,15.729,47.8
2026-02-05T19:04:41.606774,79.3,85.7,13.484,15.729,47.8
2026-02-05T19:04:42.820011,98.2,85.7,13.483,15.729,47.8
2026-02-05T19:04:44.032231,88.9,85.7,13.473,15.729,47.8
2026-02-05T19:04:45.237617,85.6,85.6,13.47,15.729,47.8
2026-02-05T19:04:46.441941,73.3,85.6,13.464,15.729,47.8
2026-02-05T19:04:47.645765,48.1,85.7,13.479,15.729,47.8
2026-02-05T19:04:48.848830,15.4,85.7,13.479,15.729,47.8
2026-02-05T19:04:50.051859,67.3,85.7,13.475,15.729,47.8
2026-02-05T19:04:51.254597,44.2,85.7,13.486,15.729,47.8
2026-02-05T19:04:52.457890,65.1,85.7,13.482,15.729,47.8
2026-02-05T19:04:53.662561,60.4,85.7,13.483,15.729,47.8
2026-02-05T19:04:54.872195,77.5,85.7,13.484,15.729,47.8
