ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T19:06:24.887746,85.7,86.9,13.672,15.729,47.8
2026-02-05T19:06:26.133927,93.9,87.2,13.721,15.729,47.8
2026-02-05T19:06:27.384902,80.6,87.2,13.712,15.729,47.8
2026-02-05T19:06:28.590995,80.2,87.2,13.715,15.729,47.8
2026-02-05T19:06:29.794349,85.7,87.1,13.704,15.729,47.8
2026-02-05T19:06:30.999733,80.4,87.1,13.704,15.729,47.8
2026-02-05T19:06:32.202883,65.5,87.1,13.702,15.729,47.8
2026-02-05T19:06:33.406016,46.7,87.1,13.696,15.729,47.8
2026-02-05T19:06:34.609500,65.2,87.1,13.7,15.729,47.8
2026-02-05T19:06:35.812438,43.0,86.9,13.667,15.729,47.8
2026-02-05T19:06:37.015329,48.1,86.8,13.659,15.729,47.8
2026-02-05T19:06:38.218140,48.6,86.8,13.655,15.729,47.8
2026-02-05T19:06:39.420850,43.3,86.8,13.651,15.729,47.8
2026-02-05T19:06:40.623979,81.9,86.7,13.633,15.729,47.8
2026-02-05T19:06:41.826684,49.0,86.6,13.62,15.729,47.8
2026-02-05T19:06:43.032865,77.6,86.7,13.63,15.729,47.8
2026-02-05T19:06:44.256277,72.5,86.7,13.636,15.729,47.8
2026-02-05T19:06:45.469324,99.1,86.7,13.638,15.729,47.8
2026-02-05T19:06:46.677305,97.1,86.7,13.641,15.729,47.8
2026-02-05T19:06:47.880234,65.1,86.7,13.638,15.729,47.8
2026-02-05T19:06:49.082930,62.6,86.7,13.635,15.729,47.8
2026-02-05T19:06:50.285597,40.0,86.7,13.643,15.729,47.8
2026-02-05T19:06:51.488383,59.0,86.7,13.64,15.729,47.8
2026-02-05T19:06:52.691474,47.7,86.7,13.644,15.729,47.8
2026-02-05T19:06:53.894044,42.1,86.7,13.642,15.729,47.8
2026-02-05T19:06:55.097565,49.5,86.7,13.63,15.729,47.8
2026-02-05T19:06:56.300941,86.1,86.7,13.633,15.729,47.8
2026-02-05T19:06:57.513012,48.6,86.8,13.652,15.729,47.8
2026-02-05T19:06:58.715411,55.1,86.8,13.648,15.729,47.8
2026-02-05T19:06:59.918191,54.2,86.7,13.644,15.729,47.8
2026-02-05T19:07:01.131475,90.4,86.8,13.657,15.729,47.8
2026-02-05T19:07:02.335344,64.4,86.9,13.673,15.729,47.8
2026-02-05T19:07:03.539684,73.8,87.0,13.681,15.729,47.8
2026-02-05T19:07:04.743732,59.4,87.0,13.688,15.729,47.8
2026-02-05T19:07:05.946722,56.0,87.0,13.688,15.729,47.8
2026-02-05T19:07:07.149699,48.5,87.0,13.682,15.729,47.8
2026-02-05T19:07:08.352075,69.7,87.1,13.705,15.729,47.8
2026-02-05T19:07:09.554870,55.1,87.1,13.704,15.729,47.8
2026-02-05T19:07:10.757011,27.8,87.1,13.705,15.729,47.8
2026-02-05T19:07:11.959775,49.1,87.1,13.702,15.729,47.8
2026-02-05T19:07:13.162353,35.8,87.1,13.701,15.729,47.8
2026-02-05T19:07:14.364394,38.1,86.9,13.671,15.729,47.8
2026-02-05T19:07:15.568205,70.0,86.9,13.67,15.729,47.8
2026-02-05T19:07:16.771152,30.8,86.9,13.665,15.729,47.8
2026-02-05T19:07:17.973815,81.7,86.8,13.659,15.729,47.8
2026-02-05T19:07:19.179229,92.5,86.9,13.667,15.729,47.8
2026-02-05T19:07:20.391640,99.1,86.7,13.639,15.729,47.8
2026-02-05T19:07:21.775423,97.9,86.8,13.651,15.729,47.8
2026-02-05T19:07:22.982364,81.9,86.9,13.666,15.729,47.8
2026-02-05T19:07:24.187449,89.0,86.9,13.664,15.729,47.8
