ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T19:08:33.320194,59.6,87.1,13.695,15.729,47.8
2026-02-05T19:08:34.523518,79.4,87.2,13.722,15.729,47.8
2026-02-05T19:08:35.726517,80.8,87.3,13.725,15.729,47.8
2026-02-05T19:08:36.930991,98.0,87.3,13.726,15.729,47.8
2026-02-05T19:08:38.136570,76.0,87.6,13.781,15.729,47.8
2026-02-05T19:08:39.339399,56.1,87.6,13.78,15.729,47.8
2026-02-05T19:08:40.541658,56.5,87.6,13.782,15.729,47.8
2026-02-05T19:08:41.743700,37.1,87.6,13.776,15.729,47.8
2026-02-05T19:08:42.946357,18.0,87.5,13.755,15.729,47.8
2026-02-05T19:08:44.148590,51.0,87.4,13.752,15.729,47.8
2026-02-05T19:08:45.351011,54.5,87.4,13.744,15.729,47.8
2026-02-05T19:08:46.553288,47.6,87.4,13.741,15.729,47.8
2026-02-05T19:08:47.756572,72.0,87.4,13.747,15.729,47.8
2026-02-05T19:08:48.959522,54.6,87.4,13.743,15.729,47.8
2026-02-05T19:08:50.163231,67.9,87.3,13.727,15.729,47.8
2026-02-05T19:08:51.366999,71.7,87.3,13.724,15.729,47.8
2026-02-05T19:08:52.570773,74.5,87.2,13.723,15.729,47.8
2026-02-05T19:08:53.776105,76.4,87.2,13.715,15.729,47.8
2026-02-05T19:08:54.979615,91.7,87.2,13.716,15.729,47.8
2026-02-05T19:08:56.187550,80.4,87.2,13.712,15.729,47.8
2026-02-05T19:08:57.392032,67.9,87.2,13.717,15.729,47.8
2026-02-05T19:08:58.596404,50.0,87.2,13.718,15.729,47.8
2026-02-05T19:08:59.799834,71.7,87.2,13.716,15.729,47.8
2026-02-05T19:09:01.002108,34.6,87.2,13.712,15.729,47.8
2026-02-05T19:09:02.204743,59.8,87.1,13.704,15.729,47.8
2026-02-05T19:09:03.408043,87.6,87.0,13.689,15.729,47.8
2026-02-05T19:09:04.611683,52.4,87.1,13.697,15.729,47.8
2026-02-05T19:09:05.814308,61.7,87.1,13.699,15.729,47.8
2026-02-05T19:09:07.020122,91.7,86.9,13.662,15.729,47.8
2026-02-05T19:09:08.223397,62.6,86.9,13.661,15.729,47.8
2026-02-05T19:09:09.430175,82.8,86.8,13.66,15.729,47.8
2026-02-05T19:09:10.637929,100.0,86.8,13.66,15.729,47.8
2026-02-05T19:09:11.841728,66.7,86.9,13.664,15.729,47.8
2026-02-05T19:09:13.044288,68.2,86.9,13.668,15.729,47.8
2026-02-05T19:09:14.247034,67.0,86.9,13.664,15.729,47.8
2026-02-05T19:09:15.449589,56.1,86.8,13.66,15.729,47.8
2026-02-05T19:09:16.651480,35.2,86.9,13.665,15.729,47.8
2026-02-05T19:09:17.853522,52.9,86.9,13.667,15.729,47.8
2026-02-05T19:09:19.056130,55.7,86.9,13.663,15.729,47.8
2026-02-05T19:09:20.258745,40.8,86.9,13.662,15.729,47.8
2026-02-05T19:09:21.461584,57.6,86.9,13.662,15.729,47.8
2026-02-05T19:09:22.664609,54.5,86.9,13.661,15.729,47.8
2026-02-05T19:09:23.866524,29.9,86.9,13.663,15.729,47.8
2026-02-05T19:09:25.083593,88.7,86.8,13.661,15.729,47.8
2026-02-05T19:09:26.287531,98.2,86.9,13.67,15.729,47.8
2026-02-05T19:09:27.492936,93.7,86.9,13.67,15.729,47.8
2026-02-05T19:09:28.695282,55.7,86.9,13.666,15.729,47.8
2026-02-05T19:09:29.898284,56.2,86.9,13.665,15.729,47.8
2026-02-05T19:09:31.100881,51.4,86.9,13.667,15.729,47.8
2026-02-05T19:09:32.303279,33.3,86.8,13.656,15.729,47.8
