ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T19:10:43.592459,77.7,87.1,13.7,15.729,47.8
2026-02-05T19:10:44.803154,90.0,87.3,13.728,15.729,47.8
2026-02-05T19:10:46.010212,96.0,87.2,13.718,15.729,47.8
2026-02-05T19:10:47.215562,82.1,87.7,13.789,15.729,47.8
2026-02-05T19:10:48.425678,77.9,87.6,13.784,15.729,47.8
2026-02-05T19:10:49.628706,27.9,87.7,13.795,15.729,47.8
2026-02-05T19:10:50.832229,24.0,87.7,13.787,15.729,47.8
2026-02-05T19:10:52.035606,77.1,87.6,13.783,15.729,47.8
2026-02-05T19:10:53.238046,33.0,87.5,13.768,15.729,47.8
2026-02-05T19:10:54.443111,46.7,87.5,13.755,15.729,47.8
2026-02-05T19:10:55.646184,70.6,87.5,13.759,15.729,47.8
2026-02-05T19:10:56.849443,53.3,87.4,13.75,15.729,47.8
2026-02-05T19:10:58.054146,87.6,87.4,13.746,15.729,47.8
2026-02-05T19:10:59.260289,84.7,87.4,13.74,15.729,47.8
2026-02-05T19:11:00.464919,95.2,87.3,13.734,15.729,47.8
2026-02-05T19:11:01.668613,98.1,87.3,13.726,15.729,47.8
2026-02-05T19:11:02.874460,50.9,87.2,13.717,15.729,47.8
2026-02-05T19:11:04.077357,71.4,87.3,13.724,15.729,47.8
2026-02-05T19:11:05.280155,79.6,87.2,13.722,15.729,47.8
2026-02-05T19:11:06.483284,74.8,87.2,13.724,15.729,47.8
2026-02-05T19:11:07.686773,75.9,87.3,13.725,15.729,47.8
2026-02-05T19:11:08.889894,51.4,87.3,13.729,15.729,47.8
2026-02-05T19:11:10.102193,93.1,87.3,13.727,15.729,47.8
2026-02-05T19:11:11.328066,100.0,87.3,13.729,15.729,47.8
2026-02-05T19:11:12.531828,75.9,87.3,13.732,15.729,47.8
2026-02-05T19:11:13.735172,52.9,87.2,13.714,15.729,47.8
2026-02-05T19:11:14.937746,44.8,87.2,13.713,15.729,47.8
2026-02-05T19:11:16.140854,74.8,87.1,13.706,15.729,47.8
2026-02-05T19:11:17.344920,48.6,87.2,13.708,15.729,47.8
2026-02-05T19:11:18.548811,75.7,87.1,13.705,15.729,47.8
2026-02-05T19:11:19.752634,79.6,87.1,13.706,15.729,47.8
2026-02-05T19:11:20.955696,40.0,87.1,13.7,15.729,47.8
2026-02-05T19:11:22.160612,86.8,87.2,13.717,15.729,47.8
2026-02-05T19:11:23.370938,70.4,87.2,13.716,15.729,47.8
2026-02-05T19:11:24.574161,82.9,87.2,13.715,15.729,47.8
2026-02-05T19:11:25.779312,96.3,87.2,13.714,15.729,47.8
2026-02-05T19:11:26.982967,70.8,87.2,13.718,15.729,47.8
2026-02-05T19:11:28.188138,66.7,87.2,13.715,15.729,47.8
2026-02-05T19:11:29.391855,44.2,87.2,13.714,15.729,47.8
2026-02-05T19:11:30.594598,37.1,87.2,13.715,15.729,47.8
2026-02-05T19:11:31.800161,76.4,87.2,13.714,15.729,47.8
2026-02-05T19:11:33.003281,35.2,87.2,13.715,15.729,47.8
2026-02-05T19:11:34.206125,70.6,87.2,13.715,15.729,47.8
2026-02-05T19:11:35.409581,57.4,87.2,13.716,15.729,47.8
2026-02-05T19:11:36.613268,83.0,87.2,13.721,15.729,47.8
2026-02-05T19:11:37.818753,97.2,87.2,13.72,15.729,47.8
2026-02-05T19:11:39.025018,99.1,87.2,13.721,15.729,47.8
2026-02-05T19:11:40.233146,77.8,87.3,13.725,15.729,47.8
2026-02-05T19:11:41.437109,57.3,87.2,13.723,15.729,47.8
2026-02-05T19:11:42.639793,68.8,87.2,13.724,15.729,47.8
