ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T19:12:59.429487,64.9,86.8,13.657,15.729,47.8
2026-02-05T19:13:00.632164,99.0,87.6,13.784,15.729,47.8
2026-02-05T19:13:01.834610,78.3,87.6,13.777,15.729,47.8
2026-02-05T19:13:03.037571,56.7,87.5,13.77,15.729,47.8
2026-02-05T19:13:04.272525,96.4,88.4,13.902,15.729,47.8
2026-02-05T19:13:05.490768,79.8,88.4,13.902,15.729,47.8
2026-02-05T19:13:06.693829,74.8,88.4,13.903,15.729,47.8
2026-02-05T19:13:07.896835,73.6,88.3,13.888,15.729,47.8
2026-02-05T19:13:09.100084,49.0,88.2,13.869,15.729,47.8
2026-02-05T19:13:10.303304,47.6,88.1,13.855,15.729,47.8
2026-02-05T19:13:11.506535,65.7,88.0,13.839,15.729,47.8
2026-02-05T19:13:12.709210,49.5,87.9,13.831,15.729,47.8
2026-02-05T19:13:13.911706,46.3,87.8,13.813,15.729,47.8
2026-02-05T19:13:15.116333,66.4,87.8,13.808,15.729,47.8
2026-02-05T19:13:16.318671,85.3,87.8,13.807,15.729,47.8
2026-02-05T19:13:17.529002,99.1,87.8,13.807,15.729,47.8
2026-02-05T19:13:18.758349,95.2,87.7,13.797,15.729,47.8
2026-02-05T19:13:19.962396,58.0,87.8,13.803,15.729,47.8
2026-02-05T19:13:21.165276,60.8,87.8,13.811,15.729,47.8
2026-02-05T19:13:22.706378,100.0,87.9,13.819,15.729,47.8
2026-02-05T19:13:23.925679,43.8,87.8,13.817,15.729,47.8
2026-02-05T19:13:25.128216,56.9,87.9,13.829,15.729,47.8
2026-02-05T19:13:26.331028,66.3,87.9,13.824,15.729,47.8
2026-02-05T19:13:27.538960,72.6,87.9,13.83,15.729,47.8
2026-02-05T19:13:28.741851,61.2,87.8,13.815,15.729,47.8
2026-02-05T19:13:29.953503,80.0,87.8,13.815,15.729,47.8
2026-02-05T19:13:31.157955,91.2,87.8,13.813,15.729,47.8
2026-02-05T19:13:32.362453,85.2,87.9,13.818,15.729,47.8
2026-02-05T19:13:33.568239,65.7,87.8,13.813,15.729,47.8
2026-02-05T19:13:34.783956,75.5,87.8,13.808,15.729,47.8
2026-02-05T19:13:35.988392,77.4,87.8,13.811,15.729,47.8
2026-02-05T19:13:37.190896,39.4,87.8,13.806,15.729,47.8
2026-02-05T19:13:38.395903,71.0,87.8,13.807,15.729,47.8
2026-02-05T19:13:39.598748,42.9,87.8,13.813,15.729,47.8
2026-02-05T19:13:40.814417,82.1,87.8,13.811,15.729,47.8
2026-02-05T19:13:42.019705,91.9,87.8,13.808,15.729,47.8
2026-02-05T19:13:43.237273,95.4,87.8,13.812,15.729,47.8
2026-02-05T19:13:44.444620,89.8,87.8,13.807,15.729,47.8
2026-02-05T19:13:45.647683,63.9,87.8,13.805,15.729,47.8
2026-02-05T19:13:46.850616,44.2,88.0,13.834,15.729,47.8
2026-02-05T19:13:48.053809,60.4,88.0,13.835,15.729,47.8
2026-02-05T19:13:49.257320,58.5,87.9,13.833,15.729,47.8
2026-02-05T19:13:50.462451,60.0,87.9,13.826,15.729,47.8
2026-02-05T19:13:51.726795,92.0,87.9,13.828,15.729,47.8
2026-02-05T19:13:52.932028,92.8,87.9,13.827,15.729,47.8
2026-02-05T19:13:54.167494,96.5,87.9,13.818,15.729,47.8
2026-02-05T19:13:55.374683,71.0,87.9,13.819,15.729,47.8
2026-02-05T19:13:56.578485,52.8,87.8,13.814,15.729,47.8
2026-02-05T19:13:57.781267,66.7,87.8,13.81,15.729,47.8
2026-02-05T19:13:58.984058,51.4,87.8,13.81,15.729,47.8
