ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T19:15:21.754073,100.0,88.0,13.848,15.729,47.8
2026-02-05T19:15:23.102959,100.0,88.3,13.887,15.729,47.8
2026-02-05T19:15:24.316029,78.3,88.2,13.868,15.729,47.8
2026-02-05T19:15:25.538595,93.8,88.2,13.875,15.729,47.8
2026-02-05T19:15:26.749813,86.9,88.1,13.853,15.729,47.8
2026-02-05T19:15:28.036821,100.0,88.4,13.899,15.729,47.8
2026-02-05T19:15:29.249780,45.3,88.5,13.926,15.729,47.8
2026-02-05T19:15:30.452105,31.1,88.5,13.926,15.729,47.8
2026-02-05T19:15:31.654315,28.6,88.5,13.924,15.729,47.8
2026-02-05T19:15:32.874333,99.1,88.5,13.918,15.729,47.8
2026-02-05T19:15:34.084183,42.3,88.4,13.904,15.729,47.8
2026-02-05T19:15:35.300412,88.5,88.4,13.902,15.729,47.8
2026-02-05T19:15:36.514010,83.7,88.4,13.9,15.729,47.8
2026-02-05T19:15:37.727279,94.5,88.3,13.889,15.729,47.8
2026-02-05T19:15:38.936677,75.7,88.2,13.871,15.729,47.8
2026-02-05T19:15:40.165882,99.0,88.2,13.878,15.729,47.8
2026-02-05T19:15:41.388327,99.2,88.2,13.878,15.729,47.8
2026-02-05T19:15:42.614781,55.7,88.2,13.879,15.729,47.8
2026-02-05T19:15:43.819552,66.7,88.2,13.87,15.729,47.8
2026-02-05T19:15:45.031997,68.6,88.2,13.872,15.729,47.8
2026-02-05T19:15:46.235034,51.9,88.2,13.866,15.729,47.8
2026-02-05T19:15:47.438590,61.9,88.2,13.869,15.729,47.8
2026-02-05T19:15:48.642907,66.1,88.2,13.868,15.729,47.8
2026-02-05T19:15:49.846663,66.0,88.1,13.857,15.729,47.8
2026-02-05T19:15:51.050108,86.7,88.1,13.855,15.729,47.8
2026-02-05T19:15:52.267534,100.0,88.1,13.858,15.729,47.8
2026-02-05T19:15:53.477691,88.8,88.1,13.852,15.729,47.8
2026-02-05T19:15:54.709078,100.0,88.1,13.853,15.729,47.8
2026-02-05T19:15:55.929310,84.3,88.0,13.848,15.729,47.8
2026-02-05T19:15:57.153289,51.9,88.0,13.849,15.729,47.8
2026-02-05T19:15:58.357050,86.2,88.0,13.845,15.729,47.8
2026-02-05T19:15:59.566433,88.8,88.0,13.845,15.729,47.8
2026-02-05T19:16:00.771495,75.5,88.0,13.839,15.729,47.8
2026-02-05T19:16:01.976840,72.4,88.0,13.839,15.729,47.8
2026-02-05T19:16:03.180637,81.4,88.0,13.843,15.729,47.8
2026-02-05T19:16:04.384756,74.0,88.0,13.838,15.729,47.8
2026-02-05T19:16:05.587774,86.7,88.0,13.845,15.729,47.8
2026-02-05T19:16:06.793000,60.9,88.0,13.844,15.729,47.8
2026-02-05T19:16:07.996731,69.2,88.0,13.845,15.729,47.8
2026-02-05T19:16:09.200408,72.2,88.0,13.84,15.729,47.8
2026-02-05T19:16:10.414074,94.3,88.0,13.847,15.729,47.8
2026-02-05T19:16:11.618713,65.7,88.0,13.847,15.729,47.8
2026-02-05T19:16:12.822478,63.3,88.0,13.845,15.729,47.8
2026-02-05T19:16:14.028032,77.3,88.0,13.842,15.729,47.8
2026-02-05T19:16:15.232266,56.5,88.1,13.85,15.729,47.8
2026-02-05T19:16:16.437051,84.1,88.0,13.849,15.729,47.8
2026-02-05T19:16:17.640187,64.5,88.0,13.848,15.729,47.8
2026-02-05T19:16:18.851881,74.5,88.0,13.846,15.729,47.8
2026-02-05T19:16:20.060113,90.8,88.0,13.844,15.729,47.8
2026-02-05T19:16:21.472412,89.9,88.1,13.851,15.729,47.8
