ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T19:17:56.861142,100.0,88.4,13.908,15.729,47.8
2026-02-05T19:17:58.099583,100.0,88.6,13.934,15.729,47.8
2026-02-05T19:17:59.310987,96.3,88.8,13.966,15.729,47.8
2026-02-05T19:18:00.513486,31.7,88.7,13.951,15.729,47.8
2026-02-05T19:18:01.715581,37.7,88.8,13.961,15.729,47.8
2026-02-05T19:18:02.917174,21.4,88.7,13.953,15.729,47.8
2026-02-05T19:18:04.122661,91.6,88.7,13.945,15.729,47.8
2026-02-05T19:18:05.326724,90.8,88.7,13.947,15.729,47.8
2026-02-05T19:18:06.538190,100.0,88.6,13.933,15.729,47.8
2026-02-05T19:18:07.759848,99.1,88.4,13.908,15.729,47.8
2026-02-05T19:18:08.965885,68.1,88.4,13.905,15.729,47.8
2026-02-05T19:18:10.171065,75.2,88.4,13.911,15.729,47.8
2026-02-05T19:18:11.399466,89.9,88.5,13.915,15.729,47.8
2026-02-05T19:18:12.626124,100.0,88.3,13.891,15.729,47.8
2026-02-05T19:18:13.833567,91.7,88.3,13.887,15.729,47.8
2026-02-05T19:18:15.037818,79.3,88.2,13.872,15.729,47.8
2026-02-05T19:18:16.245349,63.0,88.2,13.876,15.729,47.8
2026-02-05T19:18:17.448845,81.3,88.2,13.866,15.729,47.8
2026-02-05T19:18:18.654141,84.5,88.1,13.862,15.729,47.8
2026-02-05T19:18:19.860654,100.0,88.2,13.87,15.729,47.8
2026-02-05T19:18:21.076416,86.6,88.2,13.873,15.729,47.8
2026-02-05T19:18:22.281593,42.5,88.2,13.866,15.729,47.8
2026-02-05T19:18:23.489091,58.7,88.2,13.868,15.729,47.8
2026-02-05T19:18:24.693201,83.3,88.1,13.86,15.729,47.8
2026-02-05T19:18:25.896425,84.1,88.2,13.87,15.729,47.8
2026-02-05T19:18:27.100354,80.4,88.1,13.85,15.729,47.8
2026-02-05T19:18:28.312875,94.3,88.0,13.842,15.729,47.8
2026-02-05T19:18:29.525516,95.4,88.0,13.837,15.729,47.8
2026-02-05T19:18:30.729424,79.6,87.9,13.831,15.729,47.8
2026-02-05T19:18:31.932458,61.8,88.0,13.837,15.729,47.8
2026-02-05T19:18:33.135707,52.3,88.0,13.844,15.729,47.8
2026-02-05T19:18:34.339368,53.3,88.0,13.849,15.729,47.8
2026-02-05T19:18:35.541847,46.7,88.1,13.857,15.729,47.8
2026-02-05T19:18:36.745382,72.2,88.2,13.868,15.729,47.8
2026-02-05T19:18:37.947625,29.1,88.1,13.852,15.729,47.8
2026-02-05T19:18:39.150599,53.3,88.2,13.868,15.729,47.8
2026-02-05T19:18:40.353096,17.5,88.2,13.881,15.729,47.8
2026-02-05T19:18:41.560529,100.0,88.3,13.889,15.729,47.8
2026-02-05T19:18:42.772368,97.2,88.3,13.883,15.729,47.8
2026-02-05T19:18:43.977079,64.4,88.2,13.88,15.729,47.8
2026-02-05T19:18:45.181402,71.0,88.2,13.879,15.729,47.8
2026-02-05T19:18:46.387133,76.6,88.2,13.878,15.729,47.8
2026-02-05T19:18:47.590765,48.6,88.3,13.882,15.729,47.8
2026-02-05T19:18:48.795264,80.0,88.2,13.881,15.729,47.8
2026-02-05T19:18:50.003632,76.2,88.3,13.883,15.729,47.8
2026-02-05T19:18:51.208905,84.1,88.3,13.882,15.729,47.8
2026-02-05T19:18:52.413295,72.0,88.3,13.89,15.729,47.8
2026-02-05T19:18:53.616634,49.5,88.4,13.903,15.729,47.8
2026-02-05T19:18:54.819806,53.6,88.3,13.895,15.729,47.8
2026-02-05T19:18:56.024587,83.3,88.4,13.898,15.729,47.8
