ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T19:19:51.840041,83.0,88.0,13.841,15.729,47.8
2026-02-05T19:19:53.044893,83.8,88.1,13.863,15.729,47.8
2026-02-05T19:19:54.247666,63.6,88.1,13.85,15.729,47.8
2026-02-05T19:19:55.450480,83.8,88.3,13.884,15.729,47.8
2026-02-05T19:19:56.661460,99.1,88.7,13.951,15.729,47.8
2026-02-05T19:19:57.868441,90.6,87.8,13.816,15.729,47.8
2026-02-05T19:19:59.080266,97.4,87.8,13.815,15.729,47.8
2026-02-05T19:20:00.299247,90.4,87.8,13.817,15.729,47.8
2026-02-05T19:20:01.504440,52.8,87.8,13.809,15.729,47.8
2026-02-05T19:20:02.707218,32.1,87.6,13.786,15.729,47.8
2026-02-05T19:20:03.910359,67.3,87.6,13.776,15.729,47.8
2026-02-05T19:20:05.113884,58.4,87.6,13.777,15.729,47.8
2026-02-05T19:20:06.318097,65.1,87.6,13.781,15.729,47.8
2026-02-05T19:20:07.534114,100.0,87.6,13.774,15.729,47.8
2026-02-05T19:20:08.740695,87.5,87.5,13.767,15.729,47.8
2026-02-05T19:20:09.943931,59.8,87.5,13.759,15.729,47.8
2026-02-05T19:20:11.149233,91.8,87.5,13.758,15.729,47.8
2026-02-05T19:20:12.353107,57.5,87.4,13.751,15.729,47.8
2026-02-05T19:20:13.559226,85.6,87.5,13.759,15.729,47.8
2026-02-05T19:20:14.767282,78.8,87.5,13.763,15.729,47.8
2026-02-05T19:20:15.975881,92.5,87.5,13.762,15.729,47.8
2026-02-05T19:20:17.180033,79.5,87.5,13.761,15.729,47.8
2026-02-05T19:20:18.383273,80.0,87.5,13.759,15.729,47.8
2026-02-05T19:20:19.586900,60.2,87.5,13.765,15.729,47.8
2026-02-05T19:20:20.790660,65.3,87.5,13.764,15.729,47.8
2026-02-05T19:20:21.999436,96.2,87.5,13.757,15.729,47.8
2026-02-05T19:20:23.216036,61.0,87.4,13.752,15.729,47.8
2026-02-05T19:20:24.419554,93.7,87.4,13.752,15.729,47.8
2026-02-05T19:20:25.629439,71.0,87.4,13.755,15.729,47.8
2026-02-05T19:20:26.835500,67.0,87.4,13.755,15.729,47.8
2026-02-05T19:20:28.039036,70.5,87.4,13.75,15.729,47.8
2026-02-05T19:20:29.243155,73.0,87.4,13.75,15.729,47.8
2026-02-05T19:20:30.448644,84.0,87.4,13.743,15.729,47.8
2026-02-05T19:20:31.653904,96.2,87.3,13.733,15.729,47.8
2026-02-05T19:20:32.859094,84.1,87.3,13.733,15.729,47.8
2026-02-05T19:20:34.065912,76.6,87.3,13.735,15.729,47.8
2026-02-05T19:20:35.269762,59.4,87.3,13.73,15.729,47.8
2026-02-05T19:20:36.473622,46.7,87.3,13.729,15.729,47.8
2026-02-05T19:20:37.678165,50.0,87.3,13.731,15.729,47.8
2026-02-05T19:20:38.882926,56.0,87.3,13.729,15.729,47.8
2026-02-05T19:20:40.089580,81.5,87.3,13.735,15.729,47.8
2026-02-05T19:20:41.293146,100.0,87.2,13.722,15.729,47.8
2026-02-05T19:20:42.499617,93.3,87.2,13.722,15.729,47.8
2026-02-05T19:20:43.721929,69.8,87.2,13.721,15.729,47.8
2026-02-05T19:20:44.925362,57.5,87.2,13.72,15.729,47.8
2026-02-05T19:20:46.130278,64.5,87.3,13.736,15.729,47.8
2026-02-05T19:20:47.334516,90.6,87.3,13.737,15.729,47.8
2026-02-05T19:20:48.538535,75.2,87.4,13.746,15.729,47.8
2026-02-05T19:20:49.752204,93.4,87.4,13.751,15.729,47.8
2026-02-05T19:20:50.961860,86.1,87.4,13.746,15.729,47.8
