ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T19:23:17.964462,100.0,86.0,13.521,15.729,47.8
2026-02-05T19:23:19.233872,92.7,85.6,13.457,15.729,47.8
2026-02-05T19:23:20.462725,98.1,85.9,13.512,15.729,47.8
2026-02-05T19:23:21.910521,100.0,86.2,13.565,15.729,47.8
2026-02-05T19:23:23.137554,93.9,86.1,13.549,15.729,47.8
2026-02-05T19:23:24.359499,85.8,86.1,13.549,15.729,47.8
2026-02-05T19:23:25.564185,91.6,86.1,13.545,15.729,47.8
2026-02-05T19:23:26.873780,99.1,86.1,13.539,15.729,47.8
2026-02-05T19:23:28.114487,100.0,85.7,13.483,15.729,47.8
2026-02-05T19:23:29.335465,66.1,85.6,13.468,15.729,47.8
2026-02-05T19:23:30.548437,98.1,85.6,13.458,15.729,47.8
2026-02-05T19:23:31.760506,70.5,85.5,13.445,15.729,47.8
2026-02-05T19:23:32.964499,73.4,85.4,13.434,15.729,47.8
2026-02-05T19:23:34.170575,86.2,85.3,13.422,15.729,47.8
2026-02-05T19:23:35.375083,59.0,85.4,13.434,15.729,47.8
2026-02-05T19:23:36.579326,90.5,85.3,13.42,15.729,47.8
2026-02-05T19:23:37.785070,77.3,85.4,13.428,15.729,47.8
2026-02-05T19:23:38.988782,70.9,85.3,13.416,15.729,47.8
2026-02-05T19:23:40.192319,66.0,85.3,13.412,15.729,47.8
2026-02-05T19:23:41.397235,89.7,85.2,13.403,15.729,47.8
2026-02-05T19:23:42.601647,61.5,85.2,13.406,15.729,47.8
2026-02-05T19:23:43.808428,72.2,85.2,13.401,15.729,47.8
2026-02-05T19:23:45.015096,93.3,85.1,13.391,15.729,47.8
2026-02-05T19:23:46.246304,89.3,85.1,13.389,15.729,47.8
2026-02-05T19:23:47.449884,46.7,85.1,13.387,15.729,47.8
2026-02-05T19:23:48.653053,80.0,85.1,13.381,15.729,47.8
2026-02-05T19:23:49.856440,69.2,85.1,13.383,15.729,47.8
2026-02-05T19:23:51.063234,81.3,85.1,13.38,15.729,47.8
2026-02-05T19:23:52.292539,91.6,85.1,13.383,15.729,47.8
2026-02-05T19:23:53.495741,68.6,85.1,13.382,15.729,47.8
2026-02-05T19:23:54.701869,71.8,85.1,13.385,15.729,47.8
2026-02-05T19:23:55.908588,84.4,85.1,13.384,15.729,47.8
2026-02-05T19:23:57.111670,55.2,85.1,13.384,15.729,47.8
2026-02-05T19:23:58.315534,46.7,85.1,13.387,15.729,47.8
2026-02-05T19:23:59.520509,62.0,85.1,13.383,15.729,47.8
2026-02-05T19:24:00.729541,95.3,85.2,13.404,15.729,47.8
2026-02-05T19:24:01.983489,96.8,85.2,13.398,15.729,47.8
2026-02-05T19:24:03.228973,77.6,85.2,13.394,15.729,47.8
2026-02-05T19:24:04.483030,98.2,85.2,13.395,15.729,47.8
2026-02-05T19:24:05.702394,48.1,85.2,13.402,15.729,47.8
2026-02-05T19:24:06.908271,75.5,85.2,13.395,15.729,47.8
2026-02-05T19:24:08.111951,69.2,85.2,13.4,15.729,47.8
2026-02-05T19:24:09.315353,51.4,85.2,13.394,15.729,47.8
2026-02-05T19:24:10.526045,75.9,85.2,13.399,15.729,47.8
2026-02-05T19:24:11.737844,100.0,85.0,13.371,15.729,47.8
2026-02-05T19:24:12.948641,98.2,84.5,13.293,15.729,47.8
2026-02-05T19:24:14.155208,73.4,84.0,13.205,15.729,47.8
2026-02-05T19:24:15.359979,54.2,83.9,13.201,15.729,47.8
2026-02-05T19:24:16.563518,57.9,83.9,13.199,15.729,47.8
2026-02-05T19:24:17.767697,74.5,83.9,13.201,15.729,47.8
