ts,cpu_percent,ram_percent,ram_used_gb,ram_total_gb,disk_percent
2026-02-05T20:07:47.521866,39.6,85.7,13.475,15.729,47.8
2026-02-05T20:07:48.724343,58.9,86.0,13.53,15.729,47.8
2026-02-05T20:07:49.927380,45.7,86.2,13.553,15.729,47.8
2026-02-05T20:07:51.130070,68.9,86.6,13.616,15.729,47.8
2026-02-05T20:07:52.332799,43.1,86.6,13.622,15.729,47.8
2026-02-05T20:07:53.535473,51.4,86.5,13.61,15.729,47.8
2026-02-05T20:07:54.737975,67.6,86.6,13.621,15.729,47.8
2026-02-05T20:07:55.940798,57.5,86.5,13.609,15.729,47.8
2026-02-05T20:07:57.143378,87.6,87.1,13.696,15.729,47.8
2026-02-05T20:07:58.399927,100.0,87.2,13.722,15.729,47.8
2026-02-05T20:07:59.632523,60.0,87.3,13.73,15.729,47.8
2026-02-05T20:08:00.836117,74.0,87.2,13.723,15.729,47.8
2026-02-05T20:08:02.041265,91.3,87.2,13.716,15.729,47.8
2026-02-05T20:08:03.245435,96.3,86.9,13.67,15.729,47.8
2026-02-05T20:08:04.459274,100.0,86.7,13.632,15.729,47.8
2026-02-05T20:08:05.673954,95.2,86.5,13.613,15.729,47.8
2026-02-05T20:08:06.877857,87.9,86.5,13.598,15.729,47.8
2026-02-05T20:08:08.082327,58.9,86.5,13.608,15.729,47.8
2026-02-05T20:08:09.287142,86.9,86.6,13.618,15.729,47.8
2026-02-05T20:08:10.492901,85.8,86.5,13.613,15.729,47.8
2026-02-05T20:08:11.698419,71.0,86.6,13.624,15.729,47.8
2026-02-05T20:08:12.968551,96.6,86.6,13.618,15.729,47.8
2026-02-05T20:08:14.172761,86.8,86.5,13.605,15.729,47.8
2026-02-05T20:08:15.377711,70.5,86.5,13.6,15.729,47.8
2026-02-05T20:08:16.581527,74.1,86.4,13.594,15.729,47.8
2026-02-05T20:08:17.784254,72.5,86.5,13.603,15.729,47.8
2026-02-05T20:08:18.987719,64.5,86.5,13.602,15.729,47.8
2026-02-05T20:08:20.191562,87.7,86.4,13.594,15.729,47.8
2026-02-05T20:08:21.401280,71.2,86.5,13.599,15.729,47.8
2026-02-05T20:08:22.613211,92.5,86.4,13.598,15.729,47.8
2026-02-05T20:08:23.843439,90.7,86.5,13.598,15.729,47.8
2026-02-05T20:08:25.051845,77.1,86.5,13.604,15.729,47.8
2026-02-05T20:08:26.255437,82.2,86.5,13.602,15.729,47.8
2026-02-05T20:08:27.462162,96.0,86.5,13.6,15.729,47.8
2026-02-05T20:08:28.913753,100.0,86.5,13.602,15.729,47.8
2026-02-05T20:08:30.119256,54.1,86.4,13.598,15.729,47.8
2026-02-05T20:08:31.338857,95.5,86.4,13.595,15.729,47.8
2026-02-05T20:08:32.572017,100.0,86.4,13.593,15.729,47.8
2026-02-05T20:08:33.843095,95.4,86.5,13.603,15.729,47.8
2026-02-05T20:08:35.052576,74.8,86.5,13.605,15.729,47.8
2026-02-05T20:08:36.257986,90.6,86.5,13.605,15.729,47.8
2026-02-05T20:08:37.476099,90.5,86.5,13.608,15.729,47.8
2026-02-05T20:08:38.695976,88.9,86.6,13.629,15.729,47.8
2026-02-05T20:08:39.908768,96.3,86.6,13.621,15.729,47.8
2026-02-05T20:08:41.126198,92.7,86.6,13.619,15.729,47.8
2026-02-05T20:08:42.331996,82.4,86.6,13.619,15.729,47.8
2026-02-05T20:08:43.538449,79.6,86.6,13.616,15.729,47.8
2026-02-05T20:08:44.743249,91.0,86.6,13.628,15.729,47.8
2026-02-05T20:08:45.947697,61.5,86.6,13.627,15.729,47.8
2026-02-05T20:08:47.166161,79.3,86.7,13.63,15.729,47.8
