run_id,saved_at_local,game,resolution,quality,render_scale,duration_sec,sample_every_sec,avg_fps,cpu_percent_avg,cpu_percent_min,cpu_percent_max,ram_percent_avg,ram_percent_min,ram_percent_max,disk_percent_avg,disk_percent_min,disk_percent_max,shadow_quality,anti_aliasing,anisotropic_filtering
20260205_003639_97a1d0,2026-02-05T00:38:32.023927,Genshin Impact,1280x720,Lowest,0.8,60,1.0,20.0,93.61428571428571,61.5,100.0,88.34489795918367,88.1,89.1,48.7,48.7,48.7,,,
20260205_004513_d4ae5f,2026-02-05T00:46:56.705993,Genshin Impact,1280x720,Lowest,0.8,60,1.0,15.0,96.17551020408165,50.5,100.0,91.44081632653062,89.9,92.0,48.7,48.7,48.7,,,
20260205_222603_9df4ac,2026-02-05T22:27:43.716229,Genshin Impact,1280x720,,0.8,60,1.0,40.0,40.6,17.3,87.6,94.784,94.2,95.1,47.80000000000001,47.8,47.8,Lowest,Off,1X
20260205_223215_fffe7c,2026-02-05T22:35:07.310059,Genshin Impact,1280x720,,0.8,60,1.0,43.0,47.624,25.0,78.8,91.838,91.6,92.2,47.80000000000001,47.8,47.8,Lowest,Off,1X
20260205_225059_443a28,2026-02-05T22:52:25.243676,Genshin Impact,1280x720,,0.8,60,1.0,41.0,53.386,22.9,88.6,85.04,84.6,85.5,47.80000000000001,47.8,47.8,Lowest,Off,1X
20260205_225432_bc327d,2026-02-05T23:00:27.399198,Genshin Impact,1280x720,,0.75,60,1.0,41.0,55.42800000000001,22.7,97.4,85.182,84.7,85.8,47.80000000000001,47.8,47.8,Lowest,SMAA,2X
20260205_230123_42a830,2026-02-05T23:02:46.008613,Genshin Impact,1280x720,,0.8,60,1.0,44.0,53.62199999999999,26.9,97.2,84.40000000000002,84.1,85.9,47.80000000000001,47.8,47.8,Low,Off,2X
20260205_230352_46cfc1,2026-02-05T23:05:12.304624,Genshin Impact,1280x720,,0.8,60,1.0,45.0,59.86200000000001,32.4,98.1,83.69200000000001,83.4,84.1,47.80000000000001,47.8,47.8,Low,FSR 2,4X
20260205_231633_c488a4,2026-02-05T23:17:50.834306,Genshin Impact,1280x720,,0.8,60,1.0,59.0,80.42800000000001,50.9,100.0,84.38799999999999,84.1,85.1,47.80000000000001,47.8,47.8,Medium,FSR 2,4X
20260205_231904_c74c48,2026-02-05T23:20:47.064052,Genshin Impact,1280x720,,0.9,60,1.0,56.0,79.056,35.6,100.0,83.816,83.5,84.2,47.80000000000001,47.8,47.8,Medium,SMAA,8X
20260205_232203_f337b4,2026-02-05T23:23:41.632795,Genshin Impact,1280x720,,0.9,60,1.0,59.0,71.50399999999999,39.6,100.0,83.72400000000002,83.5,84.2,47.80000000000001,47.8,47.8,High,Off,8X
20260205_232520_51c323,2026-02-05T23:26:48.560601,Genshin Impact,1280x720,,1.0,60,1.0,57.0,77.196,46.7,100.0,83.292,83.1,84.0,47.80000000000001,47.8,47.8,High,FSR 2,16X
20260205_235023_6a3df0,2026-02-05T23:51:45.550633,Genshin Impact,1280x720,,1.0,60,1.0,54.0,82.194,21.0,100.0,88.84,88.4,89.2,47.80000000000001,47.8,47.8,Highest,SMAA,16X
20260206_001458_d93b4b,2026-02-06T00:16:24.942866,Genshin Impact,1280x720,,0.7,60,1.0,60.0,63.078,29.8,95.3,84.40999999999998,84.0,84.6,47.80000000000001,47.8,47.8,Lowest,Off,1X
20260206_003354_090c76,2026-02-06T00:35:31.165089,Genshin Impact,1280x720,,0.8,60,1.0,60.08,69.286,15.4,98.2,85.76199999999999,85.4,86.4,47.80000000000001,47.8,47.8,Low,SMAA,2X
20260206_003623_953f70,2026-02-06T00:37:36.581540,Genshin Impact,1280x720,,0.75,60,1.0,60.07,65.302,27.8,99.1,86.88399999999997,86.6,87.2,47.80000000000001,47.8,47.8,Lowest,SMAA,2X
20260206_003832_176703,2026-02-06T00:39:54.402672,Genshin Impact,1280x720,,0.8,60,1.0,60.09,63.768,18.0,100.0,87.112,86.8,87.6,47.80000000000001,47.8,47.8,Low,Off,2X
20260206_004042_b20eac,2026-02-06T00:42:10.981735,Genshin Impact,1280x720,,0.8,60,1.0,60.07,69.786,24.0,100.0,87.28599999999999,87.1,87.7,47.80000000000001,47.8,47.8,Low,FSR 2,4X
20260206_004258_4c301e,2026-02-06T00:44:25.353612,Genshin Impact,1280x720,,0.85,60,1.0,60.08,70.898,39.4,100.0,87.86000000000001,86.8,88.4,47.80000000000001,47.8,47.8,Medium,Off,4X
20260206_004520_98c4e0,2026-02-06T00:46:45.998847,Genshin Impact,1280x720,,0.9,60,1.0,58.0,76.456,28.6,100.0,88.14399999999999,88.0,88.5,47.80000000000001,47.8,47.8,Medium,SMAA,8X
20260206_004755_5de495,2026-02-06T00:49:13.466458,Genshin Impact,1280x720,,0.9,60,1.0,59.0,72.98400000000001,17.5,100.0,88.29199999999999,87.9,88.8,47.80000000000001,47.8,47.8,High,Off,8X
20260206_004950_50dbd5,2026-02-06T00:51:56.602793,Genshin Impact,1280x720,,1.0,60,1.0,52.0,76.064,32.1,100.0,87.52199999999999,87.2,88.7,47.80000000000001,47.8,47.8,High,FSR 2,16X
20260206_005316_eeb811,2026-02-06T00:54:38.632440,Genshin Impact,1280x720,,1.0,60,1.0,57.0,78.578,46.7,100.0,85.23599999999999,83.9,86.2,47.80000000000001,47.8,47.8,Highest,SMAA,16X
20260206_013745_d6bc3d,2026-02-06T01:39:30.821563,Genshin Impact,1280x720,,0.7,60,1.0,59.0,79.25200000000001,39.6,100.0,86.56800000000001,85.7,87.3,47.80000000000001,47.8,47.8,Highest,SMAA,16X
