timestamp,run_id,game,mode,resolution,texture,shadows,aa,render_scale,cpu_usage_pct,ram_usage_pct
2026-01-28T11:41:47,run1,TestGame,competitive,1920x1080,high,med,taa,100,10.5,79.7
2026-01-28T11:41:49,run1,TestGame,competitive,1920x1080,high,med,taa,100,20.2,79.6
2026-01-28T11:41:51,run1,TestGame,competitive,1920x1080,high,med,taa,100,15.2,79.6
2026-01-28T11:41:53,run1,TestGame,competitive,1920x1080,high,med,taa,100,16.7,79.5
2026-01-28T11:41:55,run1,TestGame,competitive,1920x1080,high,med,taa,100,16.0,79.4
2026-02-03T10:28:02,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,81.9,96.0
2026-02-03T10:28:04,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,74.4,96.0
2026-02-03T10:28:07,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,54.4,96.0
2026-02-03T10:28:09,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,80.9,95.9
2026-02-03T10:28:11,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,86.5,95.9
2026-02-03T10:28:13,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,56.0,96.2
2026-02-03T10:28:15,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,75.0,96.5
2026-02-03T10:28:17,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,72.8,96.3
2026-02-03T10:28:19,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,85.7,96.3
2026-02-03T10:28:21,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,74.7,96.3
2026-02-03T10:28:23,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,96.4,96.3
2026-02-03T10:28:25,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,80.4,96.2
2026-02-03T10:28:27,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,84.0,96.2
2026-02-03T10:28:29,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,81.6,96.3
2026-02-03T10:28:31,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,80.5,96.2
2026-02-03T10:28:33,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,69.8,96.2
2026-02-03T10:28:35,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,73.4,96.2
2026-02-03T10:28:37,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,88.8,96.2
2026-02-03T10:28:39,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,81.5,96.2
2026-02-03T10:28:41,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,83.4,96.1
2026-02-03T10:28:43,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,79.3,96.2
2026-02-03T10:28:45,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,86.7,96.2
2026-02-03T10:28:47,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,81.5,96.1
2026-02-03T10:28:49,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,59.6,96.2
2026-02-03T10:28:51,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,74.4,96.1
2026-02-03T10:28:53,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,80.3,96.2
2026-02-03T10:28:55,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,81.5,96.2
2026-02-03T10:28:57,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,80.1,96.2
2026-02-03T10:28:59,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,87.0,96.2
2026-02-03T10:29:01,run1,Genshin Impact,powersaver,1280x720,low,low,off,80,79.2,96.2
2026-02-03T10:57:56,run2,Genshin Impact,powersaver,1280x720,low,low,off,100,96.3,86.8
2026-02-03T10:57:58,run2,Genshin Impact,powersaver,1280x720,low,low,off,100,87.8,86.6
2026-02-03T10:58:00,run2,Genshin Impact,powersaver,1280x720,low,low,off,100,98.9,86.6
2026-02-03T10:58:02,run2,Genshin Impact,powersaver,1280x720,low,low,off,100,89.3,86.5
2026-02-03T10:58:04,run2,Genshin Impact,powersaver,1280x720,low,low,off,100,87.3,86.4
